from date,AT,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
26-Jan-2020 - 00:00,16.27,1.28,14.21,2.94,24.1,7.67,23.44,0.74,255.21,84.82,755.22,66.64,-0.67,0.0,254.21,2.47,12.47,4.66,27-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jan-2020 - 00:00,16.41,1.73,15.48,3.09,24.05,7.69,25.73,0.64,255.16,85.69,755.15,68.53,-1.44,0.0,232.7,2.52,16.7,10.87,28-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jan-2020 - 00:00,18.22,1.41,13.87,2.88,24.8,7.77,30.97,0.91,113.59,77.84,754.96,63.98,-1.03,0.0,253.48,2.87,22.77,11.78,29-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jan-2020 - 00:00,19.54,1.42,17.34,3.23,23.96,7.74,38.38,1.78,138.71,78.09,754.79,67.84,-0.71,0.0,213.1,2.16,17.82,12.76,30-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jan-2020 - 00:00,19.07,1.22,16.28,3.08,23.82,7.58,22.42,0.97,221.39,85.08,754.88,53.83,-0.89,0.0,259.08,2.53,12.16,4.67,31-Jan-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Jan-2020 - 00:00,18.04,0.9,14.8,2.98,23.99,7.58,24.64,1.47,234.59,73.53,754.82,82.77,-0.75,0.0,83.9,1.2,7.18,2.83,01-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Feb-2020 - 00:00,17.67,1.0,17.02,2.75,23.95,7.56,26.87,0.93,241.82,68.24,754.96,82.93,-1.01,0.0,124.21,1.71,8.36,2.69,02-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Feb-2020 - 00:00,17.57,0.81,20.39,2.68,24.19,7.44,24.09,1.69,247.33,67.01,754.88,85.48,-1.01,0.0,107.09,1.45,5.48,1.68,03-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Feb-2020 - 00:00,17.53,0.64,20.86,2.87,24.3,7.72,22.72,0.76,243.84,70.06,754.78,85.62,-1.29,0.0,138.88,1.94,9.81,3.85,04-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Feb-2020 - 00:00,17.74,0.85,24.02,3.11,23.43,7.48,26.21,0.53,207.65,72.33,754.9,86.88,-1.27,0.0,164.9,2.15,12.88,5.33,05-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Feb-2020 - 00:00,18.71,1.11,21.44,2.78,23.65,7.44,35.03,1.43,262.58,68.7,754.7,83.59,-1.03,0.0,152.04,1.88,10.16,3.61,06-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Feb-2020 - 00:00,18.54,0.93,29.27,3.01,24.3,7.77,27.4,0.76,240.32,67.2,754.7,90.78,-0.68,0.0,138.51,2.0,14.49,9.23,07-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Feb-2020 - 00:00,18.0,1.14,19.8,2.8,23.96,7.64,26.9,0.63,239.85,70.45,754.93,87.92,-0.89,0.0,172.24,2.6,22.35,19.15,08-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Feb-2020 - 00:00,19.09,1.34,22.42,2.93,24.23,7.75,25.41,0.81,225.66,65.47,754.77,87.16,-1.16,0.0,178.6,2.41,15.55,8.61,09-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Feb-2020 - 00:00,18.3,0.83,24.01,2.5,24.21,7.45,31.2,0.83,250.42,63.1,754.84,94.39,-0.83,0.0,124.48,1.63,7.03,2.21,10-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Feb-2020 - 00:00,19.06,0.69,25.17,2.74,24.22,7.58,28.43,1.0,252.24,63.69,754.77,93.76,-0.96,0.0,122.03,1.65,8.9,3.38,11-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Feb-2020 - 00:00,19.13,1.06,29.96,3.08,23.85,7.69,29.81,1.06,248.22,66.77,754.78,91.64,-0.96,0.0,143.31,1.82,8.92,3.19,12-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Feb-2020 - 00:00,19.04,0.89,29.0,2.85,24.02,7.67,27.43,1.18,245.1,67.08,754.8,94.81,-0.94,0.0,152.38,1.9,8.9,3.19,13-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Feb-2020 - 00:00,19.23,1.34,23.84,2.92,23.92,7.63,28.37,0.85,227.29,75.81,754.82,76.97,-1.17,0.0,191.18,2.49,18.33,13.44,14-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Feb-2020 - 00:00,20.51,1.15,21.59,2.81,24.41,7.7,32.8,0.76,229.78,79.86,754.77,72.99,-1.09,0.0,209.81,2.63,16.21,7.36,15-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Feb-2020 - 00:00,20.89,0.97,20.81,2.75,24.3,7.56,23.77,0.94,238.26,76.92,754.75,82.59,-0.89,0.0,144.79,2.0,10.55,3.25,16-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Feb-2020 - 00:00,20.67,0.98,22.45,2.98,23.9,7.69,23.58,0.66,250.22,72.99,754.74,84.26,-0.58,0.0,129.41,1.9,9.48,3.3,17-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Feb-2020 - 00:00,21.16,1.2,24.33,2.81,24.31,7.55,22.95,1.04,246.91,71.95,754.72,87.14,-0.94,0.0,145.16,2.27,11.68,4.21,18-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Feb-2020 - 00:00,21.23,0.82,26.71,2.81,24.21,7.6,25.81,1.2,233.56,70.43,754.74,83.89,-0.77,0.0,150.98,2.32,11.8,4.66,19-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Feb-2020 - 00:00,20.83,1.51,24.92,3.1,23.95,7.83,28.24,0.39,218.45,69.01,754.73,88.07,-0.4,0.0,147.27,2.54,22.87,17.08,20-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Feb-2020 - 00:00,21.28,1.26,20.77,2.94,23.91,7.67,30.21,1.11,120.45,70.42,754.76,77.53,-0.83,0.0,169.17,2.61,20.48,12.66,21-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Feb-2020 - 00:00,22.05,1.0,25.81,2.83,24.03,7.67,26.83,3.18,97.77,76.59,754.78,73.01,-1.09,0.0,149.86,2.47,9.01,3.12,22-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Feb-2020 - 00:00,22.78,0.79,23.06,2.81,23.94,7.64,17.57,1.24,165.47,68.83,754.72,80.45,-0.87,0.0,72.47,,,,23-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Feb-2020 - 00:00,23.18,0.86,16.87,2.82,24.17,7.64,18.6,0.85,181.56,72.13,754.66,92.17,-1.19,0.0,128.74,,,,24-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Feb-2020 - 00:00,23.31,0.69,18.54,3.04,23.87,7.69,17.5,2.02,120.61,69.3,754.7,100.81,-0.86,0.0,78.07,,,,25-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Feb-2020 - 00:00,20.75,0.58,26.56,2.9,24.22,7.76,11.65,3.16,104.31,72.58,754.96,62.15,-1.07,0.02,46.04,,,,26-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Feb-2020 - 00:00,21.02,0.72,13.0,3.07,23.92,7.71,9.09,2.03,143.0,74.74,754.0,95.83,-1.1,0.0,43.3,,,,27-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Feb-2020 - 00:00,20.05,0.82,18.49,2.66,24.22,7.61,13.1,0.74,177.43,80.15,754.31,75.52,-0.76,0.0,76.01,,,,28-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Feb-2020 - 00:00,21.06,1.17,17.47,2.83,24.0,7.66,12.89,0.77,240.6,77.98,754.23,108.23,-0.96,0.0,112.24,,,,29-Feb-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Feb-2020 - 00:00,21.71,0.82,23.21,2.84,23.96,7.61,16.11,0.75,262.71,74.25,754.12,110.89,-0.59,0.0,117.78,,,,01-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Mar-2020 - 00:00,22.59,0.99,28.41,2.58,24.21,7.46,11.27,0.84,256.65,72.38,753.88,112.44,-0.96,0.0,132.35,,,,02-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Mar-2020 - 00:00,23.16,0.91,27.22,2.67,24.24,7.63,7.02,0.86,238.07,73.87,753.84,99.29,-1.21,0.0,105.62,,,,03-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Mar-2020 - 00:00,23.88,0.92,18.94,2.86,23.85,7.61,17.08,1.1,250.1,69.94,753.79,116.09,-1.37,0.0,98.55,,,,04-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Mar-2020 - 00:00,23.44,0.95,18.16,2.57,24.16,7.54,26.38,1.19,135.7,67.56,753.89,102.25,-1.04,0.0,124.66,,,,05-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Mar-2020 - 00:00,23.86,1.27,22.81,2.49,24.32,7.46,24.59,2.49,80.4,71.86,753.92,105.04,-1.03,0.0,107.82,,,,06-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Mar-2020 - 00:00,22.82,0.53,18.39,2.83,24.12,7.7,30.25,3.62,100.59,70.62,754.17,127.1,-1.03,0.0,36.61,,,,07-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Mar-2020 - 00:00,21.88,0.88,15.28,2.52,24.19,7.43,40.98,1.57,136.02,80.41,754.34,96.61,-0.6,0.0,47.45,,,,08-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Mar-2020 - 00:00,22.1,0.82,14.25,2.34,24.11,7.35,64.07,1.01,253.64,76.05,754.25,117.47,-0.56,0.0,55.7,,,,09-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Mar-2020 - 00:00,22.13,0.65,19.4,2.71,24.07,7.49,80.39,2.18,238.01,68.13,754.35,145.86,-0.96,0.0,56.65,,,,10-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Mar-2020 - 00:00,22.14,0.81,19.61,2.52,24.11,7.49,78.62,1.29,231.16,67.59,754.27,119.57,-0.99,0.0,119.96,,,,11-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Mar-2020 - 00:00,23.34,0.75,19.64,2.59,24.39,7.59,95.65,1.36,233.4,65.4,754.12,119.22,-1.01,0.0,81.75,,,,12-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Mar-2020 - 00:00,25.25,0.94,27.19,2.75,24.09,7.62,74.07,0.78,219.24,66.86,753.72,137.71,-1.25,0.0,83.09,,,,13-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Mar-2020 - 00:00,22.39,0.81,18.44,2.44,24.04,7.41,54.14,0.84,141.67,81.94,754.32,44.92,-0.59,0.0,96.99,,,,14-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Mar-2020 - 00:00,20.36,0.99,13.71,2.68,24.27,7.61,46.45,0.3,157.16,88.55,755.02,26.07,-1.67,0.02,38.27,,,,15-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Mar-2020 - 00:00,22.23,0.75,29.09,2.43,24.11,7.39,65.45,0.3,247.24,78.52,754.46,139.05,-1.93,0.0,47.04,,,,16-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Mar-2020 - 00:00,23.79,1.11,16.28,2.4,24.35,7.38,82.98,0.3,256.81,66.61,754.19,154.08,-1.91,0.0,77.56,,,,17-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Mar-2020 - 00:00,23.51,0.98,19.62,2.58,23.79,7.41,111.12,0.3,253.44,63.63,754.08,153.45,-1.91,0.0,88.24,,,,18-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Mar-2020 - 00:00,24.12,1.03,24.34,2.62,23.67,7.38,118.97,0.3,240.9,62.31,754.01,150.59,-1.89,0.0,74.43,,,,19-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Mar-2020 - 00:00,24.41,0.97,20.54,2.64,24.06,7.56,116.55,0.3,220.62,64.7,754.06,132.48,-1.89,0.0,108.5,,,,20-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Mar-2020 - 00:00,24.88,1.14,42.39,2.8,23.83,7.48,95.38,0.3,218.06,63.38,753.85,145.09,-1.89,0.0,85.21,,,,21-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Mar-2020 - 00:00,24.17,0.97,29.83,2.7,24.28,7.65,110.97,0.3,196.3,67.26,753.95,103.2,-1.89,0.0,89.19,,,,22-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Mar-2020 - 00:00,24.24,0.72,19.35,2.48,24.28,7.48,107.17,0.3,168.19,68.88,754.05,130.44,-1.91,0.0,88.27,,,,23-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Mar-2020 - 00:00,23.96,0.52,19.65,2.52,24.15,7.44,111.9,0.3,146.97,73.79,754.36,140.03,-1.89,0.0,47.6,,,,24-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Mar-2020 - 00:00,24.95,0.97,23.03,2.5,24.06,7.41,94.97,0.3,191.2,70.15,753.85,128.36,-1.9,0.0,96.69,,,,25-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Mar-2020 - 00:00,26.19,0.53,19.38,2.87,24.35,7.76,94.75,0.3,233.56,68.11,753.74,132.45,-1.8,0.0,115.64,,,,26-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Mar-2020 - 00:00,26.76,0.75,18.62,2.52,24.08,7.41,111.27,0.3,247.48,62.07,753.77,165.84,-1.9,0.0,96.32,,,,27-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Mar-2020 - 00:00,27.56,0.96,23.9,2.39,24.04,7.36,115.99,0.3,250.57,57.59,753.71,161.86,-1.9,0.0,81.84,,,,28-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Mar-2020 - 00:00,26.79,0.74,18.38,2.26,24.13,7.33,114.4,0.3,251.08,58.49,753.82,169.14,-1.91,0.0,31.61,,,,29-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Mar-2020 - 00:00,26.41,0.74,17.58,2.31,24.13,7.33,130.03,0.3,248.21,52.34,753.81,178.85,-1.91,0.0,36.3,,,,30-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Mar-2020 - 00:00,26.26,0.47,19.71,2.39,23.93,7.32,139.65,0.3,251.46,46.39,753.78,185.33,-1.92,0.0,40.39,,,,31-Mar-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Mar-2020 - 00:00,26.04,0.87,23.38,2.39,24.07,7.39,66.59,0.3,237.97,50.55,753.76,180.74,-1.91,0.0,65.28,,,,01-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Apr-2020 - 00:00,27.16,0.96,23.05,2.41,24.17,7.41,17.19,0.3,236.0,52.62,753.7,176.19,-1.91,0.0,95.18,,,,02-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Apr-2020 - 00:00,27.95,0.38,21.27,2.58,24.22,7.53,16.03,0.3,261.06,52.81,753.67,172.98,-1.89,0.0,78.49,,,,03-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Apr-2020 - 00:00,27.24,0.69,22.84,2.36,24.06,7.39,8.69,0.3,267.04,45.37,753.73,208.69,-1.91,0.0,51.06,,,,04-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Apr-2020 - 00:00,26.8,0.95,27.3,2.48,24.03,7.4,60.23,0.3,246.76,44.55,753.74,202.21,-1.9,0.0,64.75,,,,05-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Apr-2020 - 00:00,27.16,0.93,28.08,2.19,24.2,7.3,58.0,0.3,240.88,46.59,753.74,193.22,-1.91,0.0,97.71,,,,06-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Apr-2020 - 00:00,28.48,0.79,25.36,2.59,23.62,7.34,59.17,0.3,242.82,42.46,753.68,192.2,-1.91,0.0,47.62,,,,07-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Apr-2020 - 00:00,28.65,0.58,22.28,2.38,24.33,7.4,56.38,0.3,235.81,44.27,753.66,202.93,-1.9,0.0,48.72,,,,08-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Apr-2020 - 00:00,28.03,0.83,25.97,2.51,23.9,7.39,56.69,0.3,212.57,46.22,753.69,170.27,-1.89,0.0,70.28,,,,09-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Apr-2020 - 00:00,28.35,0.68,29.52,2.42,24.06,7.37,58.58,0.3,229.49,49.24,753.67,176.92,-1.9,0.0,86.97,,,,10-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Apr-2020 - 00:00,27.99,0.45,26.48,2.39,23.96,7.34,62.65,0.3,204.95,49.29,753.68,186.17,-1.89,0.0,70.68,,,,11-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Apr-2020 - 00:00,28.15,0.47,35.82,2.3,24.29,7.39,65.34,0.3,135.93,56.39,753.73,177.6,-1.9,0.0,59.54,,,,12-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Apr-2020 - 00:00,28.35,0.81,29.83,2.61,24.33,7.58,68.31,0.3,101.14,58.25,753.78,177.6,-1.89,0.0,54.8,,,,13-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Apr-2020 - 00:00,28.69,0.58,33.41,2.43,24.25,7.44,73.06,0.3,91.03,60.47,753.75,168.0,-1.88,0.0,45.8,,,,14-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Apr-2020 - 00:00,29.72,0.77,35.87,2.38,24.01,7.36,80.18,0.3,87.71,58.6,753.7,168.75,-1.86,0.0,57.25,,,,15-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Apr-2020 - 00:00,26.04,0.58,16.89,2.46,24.26,7.49,65.79,0.3,112.38,68.9,754.0,145.98,-1.84,0.0,24.34,,,,16-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Apr-2020 - 00:00,26.81,0.91,23.18,2.35,24.13,7.29,64.3,0.3,83.15,68.93,753.88,178.05,-1.9,0.0,33.06,,,,17-Apr-2020 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
