from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
23-Aug-2019 - 00:00,31.43,980.03,93.06,29.44,33.85,187.58,272.87,1.37,0.86,14.17,20.51,26.4,1.74,15.35,0.58,38.71,9.08,24-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-Aug-2019 - 00:00,30.28,980.34,100.06,37.67,56.61,121.95,187.89,1.28,1.52,16.65,23.48,28.53,2.89,17.54,0.78,34.84,9.05,25-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-Aug-2019 - 00:00,28.3,980.92,52.0,22.94,51.98,94.4,124.94,1.36,1.19,12.13,22.17,29.79,2.17,17.51,0.7,30.98,8.28,26-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Aug-2019 - 00:00,30.38,980.57,53.52,15.65,32.1,152.54,122.78,1.95,1.14,11.58,18.93,33.05,3.65,20.23,0.65,34.5,9.15,27-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Aug-2019 - 00:00,31.54,979.65,78.06,30.31,48.33,127.33,133.21,1.05,1.5,14.84,18.61,35.84,4.38,22.59,0.77,56.33,11.87,28-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Aug-2019 - 00:00,32.44,980.55,70.56,23.6,19.8,159.47,123.9,1.62,1.39,13.38,18.77,33.95,4.37,21.48,0.78,45.83,11.25,29-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Aug-2019 - 00:00,31.79,981.56,70.79,24.98,52.13,139.91,152.12,1.8,0.87,10.38,19.57,25.52,1.82,14.86,0.65,46.27,9.35,30-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Aug-2019 - 00:00,30.99,979.18,67.69,33.23,30.6,134.11,200.11,1.01,0.99,11.6,17.75,26.37,2.09,15.63,0.71,54.52,8.56,31-Aug-2019 - 00:00,"Najafgarh, Delhi - DPCC"
31-Aug-2019 - 00:00,31.3,977.68,88.28,43.93,40.97,189.21,204.9,1.1,1.15,11.44,22.49,26.88,2.62,16.41,0.77,40.48,9.35,01-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-Sep-2019 - 00:00,29.69,979.64,42.44,12.52,72.29,156.45,125.35,1.63,1.15,11.89,21.62,33.49,2.07,19.51,0.81,37.55,11.55,02-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Sep-2019 - 00:00,29.48,979.56,58.84,32.59,59.14,86.9,181.75,1.01,1.14,11.38,18.51,26.53,2.18,15.8,0.84,16.29,10.24,03-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Sep-2019 - 00:00,30.67,974.19,91.46,56.0,76.09,123.32,228.54,0.96,1.25,13.91,19.65,26.13,2.31,15.78,0.83,49.66,9.93,04-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Sep-2019 - 00:00,29.98,977.94,128.4,75.0,86.98,108.44,159.85,1.1,1.69,19.98,25.34,31.95,3.05,19.48,0.99,42.45,8.25,05-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Sep-2019 - 00:00,31.18,978.13,52.38,25.99,90.24,118.2,169.74,1.45,0.9,9.86,22.78,23.5,2.12,14.22,0.75,24.26,11.27,06-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Sep-2019 - 00:00,31.46,977.27,57.6,25.63,85.79,131.54,145.38,1.41,1.2,14.85,31.78,30.06,3.24,18.54,0.76,14.94,11.93,07-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Sep-2019 - 00:00,31.38,977.77,56.01,22.94,85.18,114.21,141.35,1.74,0.94,10.94,17.69,28.88,3.18,17.96,0.72,,9.94,08-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Sep-2019 - 00:00,31.77,979.48,64.0,28.46,81.47,149.37,83.53,1.17,1.03,13.03,18.74,27.24,3.28,17.16,0.7,,9.8,09-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Sep-2019 - 00:00,32.15,978.04,116.96,56.45,78.08,169.49,226.08,1.19,1.27,14.7,20.69,26.74,3.26,16.88,0.78,47.87,12.49,10-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Sep-2019 - 00:00,32.15,977.55,121.68,58.99,78.16,158.1,223.16,1.13,1.5,17.85,19.44,30.92,4.58,20.18,0.91,48.91,12.26,11-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-Sep-2019 - 00:00,32.35,978.79,146.75,68.27,74.79,136.65,169.37,1.17,1.59,13.82,24.93,36.47,3.9,22.6,0.46,31.9,13.14,12-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-Sep-2019 - 00:00,31.82,980.15,107.6,52.67,80.03,110.93,155.9,1.86,1.24,10.86,18.09,28.81,1.44,16.49,0.51,55.97,10.72,13-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-Sep-2019 - 00:00,31.87,981.19,61.79,27.52,79.8,125.32,141.6,1.4,0.76,8.0,19.31,26.57,2.33,16.03,0.7,33.74,9.76,14-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-Sep-2019 - 00:00,31.71,982.14,59.4,28.93,78.92,210.35,131.33,1.81,0.72,8.24,17.01,24.03,1.65,14.13,0.67,46.01,10.94,15-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-Sep-2019 - 00:00,31.79,981.3,75.68,42.25,78.2,103.3,130.35,1.09,1.25,12.9,14.71,29.68,1.08,16.62,0.91,75.73,10.76,16-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-Sep-2019 - 00:00,31.0,981.64,,40.5,86.53,161.68,281.84,0.89,1.2,12.19,12.92,29.18,7.87,21.53,0.78,18.68,10.57,17-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,18-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-Sep-2019 - 00:00,29.18,985.77,89.44,30.75,60.2,12.3,164.92,2.8,0.84,9.07,18.84,23.6,1.24,13.49,0.28,66.7,10.51,19-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-Sep-2019 - 00:00,28.14,987.46,42.52,14.77,62.95,87.82,155.2,2.64,0.54,5.36,16.07,20.48,1.5,12.1,0.26,38.23,11.03,20-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-Sep-2019 - 00:00,28.54,985.88,69.51,26.15,62.74,101.09,184.35,1.78,0.93,10.47,16.15,25.65,2.69,15.87,0.49,33.64,11.23,21-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
21-Sep-2019 - 00:00,27.9,984.84,59.17,24.85,66.86,97.15,139.74,1.4,0.7,8.67,16.67,19.94,3.32,13.24,0.58,38.78,10.34,22-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-Sep-2019 - 00:00,26.17,986.69,48.28,22.2,69.36,81.7,156.07,2.23,0.89,10.43,16.58,28.3,5.23,19.31,0.52,23.35,9.29,23-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
23-Sep-2019 - 00:00,28.02,988.2,39.38,20.64,62.92,132.64,145.08,1.6,0.63,5.62,19.78,22.37,3.01,14.18,0.54,37.59,9.98,24-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-Sep-2019 - 00:00,27.49,988.12,77.61,26.34,64.5,86.27,,,,,16.45,19.85,4.96,14.67,0.58,41.54,11.38,25-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-Sep-2019 - 00:00,28.2,989.29,62.31,22.98,62.59,134.95,,,,,15.68,,,,0.67,48.09,10.58,26-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Sep-2019 - 00:00,26.93,990.69,40.22,13.35,68.38,87.77,,,,,14.17,,,,0.6,13.82,9.27,27-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Sep-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Sep-2019 - 00:00,28.06,986.63,45.1,12.66,61.95,205.88,146.29,1.92,0.84,10.4,13.27,18.37,5.27,13.84,0.73,26.63,10.71,29-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Sep-2019 - 00:00,26.8,987.37,34.44,9.32,65.82,139.54,163.5,1.6,0.67,7.28,12.5,15.56,2.6,10.4,0.69,31.73,8.77,30-Sep-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Sep-2019 - 00:00,26.53,986.16,50.71,18.73,66.98,127.37,162.22,1.63,0.97,10.08,14.28,15.83,2.36,10.34,0.48,36.52,7.4,01-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-Oct-2019 - 00:00,26.78,985.64,66.96,27.5,66.92,108.64,167.56,1.47,1.13,12.51,14.98,17.42,3.8,12.35,0.72,38.23,8.23,02-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Oct-2019 - 00:00,27.32,986.83,86.95,41.16,62.42,105.17,115.7,0.92,1.35,14.42,16.46,17.13,7.85,15.5,0.79,46.77,9.11,03-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Oct-2019 - 00:00,27.39,986.98,97.71,43.29,60.32,125.96,150.37,1.32,1.39,10.97,19.1,15.28,5.84,12.9,0.75,57.49,7.3,04-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Oct-2019 - 00:00,26.29,988.02,68.81,30.69,62.19,137.97,114.89,1.72,0.86,7.83,19.1,12.55,2.59,8.78,0.56,51.75,7.22,05-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Oct-2019 - 00:00,25.91,987.94,88.08,29.54,58.63,157.29,84.54,1.67,0.85,7.36,15.15,16.73,3.13,11.45,0.29,47.86,8.18,06-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Oct-2019 - 00:00,25.83,988.51,119.17,50.92,60.2,143.18,108.88,1.4,1.37,10.79,18.89,17.38,4.17,12.61,0.61,52.83,8.18,07-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Oct-2019 - 00:00,26.0,989.58,119.44,47.21,59.9,133.64,95.74,1.73,1.23,7.53,19.26,13.21,2.37,8.96,0.64,49.11,8.21,08-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Oct-2019 - 00:00,24.87,989.0,107.77,42.44,59.48,156.52,130.18,1.32,1.14,6.53,17.96,14.03,2.87,9.79,0.48,49.46,8.47,09-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Oct-2019 - 00:00,26.33,988.82,158.6,67.29,55.65,153.79,159.81,1.01,2.37,22.63,19.52,24.73,5.78,17.87,0.9,58.57,9.77,10-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Oct-2019 - 00:00,26.04,988.32,187.65,91.71,55.9,125.5,133.63,0.98,3.07,37.07,23.39,27.28,5.99,19.39,1.07,64.76,10.31,11-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-Oct-2019 - 00:00,25.68,987.87,138.5,74.58,57.56,143.32,156.55,1.08,1.72,12.84,22.72,19.83,4.6,14.28,0.75,52.05,8.63,12-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-Oct-2019 - 00:00,26.44,988.8,163.52,82.23,57.36,129.79,153.13,1.05,2.0,14.61,25.24,22.31,2.29,13.73,0.88,57.34,8.34,13-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-Oct-2019 - 00:00,26.28,989.24,220.55,97.15,55.9,122.78,145.99,1.02,2.15,18.93,23.75,24.0,4.17,16.16,0.82,52.79,10.36,14-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-Oct-2019 - 00:00,26.26,990.03,189.14,95.13,55.9,128.67,194.76,0.99,2.18,17.34,20.94,24.83,4.99,17.28,0.8,50.63,10.4,15-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-Oct-2019 - 00:00,26.61,990.6,247.88,105.73,54.81,122.61,138.93,1.07,3.84,32.32,22.89,38.45,9.71,28.36,1.2,45.12,9.99,16-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-Oct-2019 - 00:00,26.77,990.87,264.12,134.46,57.06,106.68,158.96,1.08,4.6,35.05,25.8,52.14,20.86,46.32,1.72,66.05,10.54,17-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-Oct-2019 - 00:00,27.38,990.45,215.94,112.84,53.74,115.12,150.02,1.47,2.02,16.43,29.68,42.99,8.39,29.56,1.24,49.32,10.12,18-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-Oct-2019 - 00:00,27.72,990.5,184.67,103.87,51.96,148.76,166.51,2.38,1.71,11.73,26.98,28.52,4.26,18.15,0.0,53.05,11.36,19-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-Oct-2019 - 00:00,26.02,991.63,138.74,91.16,58.61,89.11,57.55,1.17,,,26.84,41.05,5.62,25.93,2.11,57.03,11.44,20-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-Oct-2019 - 00:00,23.93,991.93,128.55,81.52,60.23,138.42,160.56,1.26,1.23,5.59,26.93,29.91,9.64,23.27,2.63,39.86,9.3,21-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
21-Oct-2019 - 00:00,22.81,990.27,151.19,90.98,57.11,129.59,202.29,1.31,1.42,6.35,22.78,27.36,8.36,20.87,1.96,45.11,11.1,22-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-Oct-2019 - 00:00,23.37,987.76,145.43,76.46,52.83,165.52,223.38,1.84,1.22,4.72,20.59,26.16,3.1,16.23,2.72,53.69,9.8,23-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
23-Oct-2019 - 00:00,26.51,986.2,194.24,96.8,45.35,161.94,103.86,1.36,2.68,14.79,25.81,32.98,3.27,19.71,2.24,52.94,8.9,24-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-Oct-2019 - 00:00,23.67,987.75,250.51,139.28,54.63,113.77,131.01,0.85,4.9,33.35,28.97,42.55,15.1,33.87,1.47,56.02,8.68,25-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-Oct-2019 - 00:00,23.9,989.07,221.91,117.59,53.76,108.99,135.86,1.34,4.51,30.03,30.61,46.24,9.76,32.06,1.3,59.07,9.58,26-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Oct-2019 - 00:00,23.29,990.42,203.96,120.3,55.99,101.42,144.9,0.86,4.16,29.14,32.46,35.39,16.21,31.56,1.35,44.86,10.06,27-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Oct-2019 - 00:00,22.84,989.9,229.96,155.45,56.06,114.78,181.88,1.35,2.83,17.09,34.73,19.9,2.78,12.36,0.89,40.5,8.11,28-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Oct-2019 - 00:00,22.71,990.59,286.54,211.74,56.34,89.52,218.7,0.96,2.94,19.8,34.54,17.1,2.64,10.73,0.95,39.49,8.96,29-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Oct-2019 - 00:00,22.45,991.19,333.41,239.32,61.08,56.67,218.04,0.65,3.69,23.54,39.75,18.84,4.29,13.05,1.26,21.54,7.67,30-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Oct-2019 - 00:00,23.86,989.82,291.94,199.76,55.55,79.34,174.35,0.92,3.33,26.29,37.01,12.84,6.49,11.63,1.14,22.76,8.78,31-Oct-2019 - 00:00,"Najafgarh, Delhi - DPCC"
31-Oct-2019 - 00:00,23.04,989.2,409.32,299.99,57.61,93.49,155.53,0.9,3.78,36.38,41.26,15.09,13.65,18.65,1.36,22.09,8.22,01-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-Nov-2019 - 00:00,24.01,989.3,456.27,333.61,55.58,75.35,162.48,1.0,4.54,43.43,42.08,16.38,7.54,14.35,1.61,33.46,7.33,02-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Nov-2019 - 00:00,22.04,991.09,430.02,376.54,64.72,49.47,210.81,1.2,3.41,23.84,47.09,11.18,3.8,8.54,1.35,12.59,5.98,03-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Nov-2019 - 00:00,21.9,991.89,555.31,465.88,65.94,49.83,259.96,1.3,4.58,25.68,48.89,10.28,3.37,7.73,1.61,8.49,6.16,04-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Nov-2019 - 00:00,22.16,991.52,258.24,195.35,60.92,79.88,198.16,1.42,2.29,20.19,37.86,10.37,5.52,9.52,0.89,15.37,8.99,05-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Nov-2019 - 00:00,21.51,988.8,177.18,123.71,56.59,117.18,257.53,1.52,1.47,20.8,34.66,9.33,4.52,8.16,0.64,8.46,7.53,06-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Nov-2019 - 00:00,22.42,986.51,158.94,86.41,52.45,114.9,202.83,1.38,1.75,26.43,32.82,12.42,10.68,14.82,0.71,14.45,9.86,07-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Nov-2019 - 00:00,19.86,987.94,264.01,183.03,63.26,35.07,123.97,1.34,4.14,38.24,36.46,19.73,7.13,15.8,1.15,8.88,9.72,08-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Nov-2019 - 00:00,21.31,990.71,227.46,158.09,60.36,85.0,61.89,0.96,3.37,36.76,35.11,13.47,9.18,14.16,0.92,12.4,8.78,09-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Nov-2019 - 00:00,20.69,991.36,210.31,159.33,58.02,116.6,118.69,1.39,1.87,21.98,31.59,11.14,4.44,9.05,0.71,10.13,6.69,10-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Nov-2019 - 00:00,19.46,991.31,194.92,142.73,56.1,98.11,152.84,1.04,1.67,19.08,29.47,11.32,4.12,8.89,0.66,11.6,5.96,11-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-Nov-2019 - 00:00,19.04,990.16,250.77,188.73,56.66,90.23,134.66,0.97,2.06,19.85,30.67,13.06,6.05,11.37,0.85,10.24,6.4,12-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-Nov-2019 - 00:00,18.2,991.11,377.02,301.98,60.44,87.3,208.58,0.98,2.75,23.21,31.92,13.61,8.23,13.47,1.1,8.37,7.34,13-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-Nov-2019 - 00:00,19.5,993.05,479.81,393.83,59.35,76.4,126.13,0.85,4.58,26.24,33.63,15.13,5.31,11.88,1.38,7.91,6.29,14-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-Nov-2019 - 00:00,19.84,993.72,456.71,364.48,60.99,59.5,194.02,0.83,4.02,28.17,33.27,13.51,6.28,11.8,1.35,6.05,5.52,15-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-Nov-2019 - 00:00,20.41,992.83,556.88,471.31,59.38,70.13,162.17,1.08,4.18,22.1,33.93,12.91,2.64,8.53,1.49,5.77,5.73,16-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-Nov-2019 - 00:00,20.27,992.73,288.44,208.94,59.56,99.47,162.92,1.7,2.11,17.21,33.32,10.76,3.36,7.96,0.89,4.63,4.72,17-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-Nov-2019 - 00:00,20.05,992.71,285.64,92.91,57.32,113.67,225.12,2.18,1.12,13.63,30.15,9.2,3.03,6.86,0.53,3.94,7.0,18-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-Nov-2019 - 00:00,18.61,992.06,94.78,75.17,60.32,105.43,267.73,1.68,1.11,13.45,30.22,10.07,3.99,8.11,0.5,3.89,5.63,19-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-Nov-2019 - 00:00,17.79,991.41,134.73,91.17,60.6,105.83,237.36,0.99,1.54,16.33,29.14,11.36,13.92,16.91,0.67,4.41,6.69,20-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-Nov-2019 - 00:00,18.0,991.86,217.6,153.83,58.84,95.48,173.18,0.86,2.34,21.28,28.31,14.52,13.67,18.38,0.97,4.75,7.38,21-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
21-Nov-2019 - 00:00,18.83,993.78,313.58,201.38,58.31,80.54,113.18,0.82,5.5,48.54,27.94,19.6,37.48,40.47,1.87,11.35,9.48,22-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
22-Nov-2019 - 00:00,19.18,993.84,267.5,184.67,58.16,84.42,163.83,0.92,2.8,31.57,27.4,16.97,9.79,16.51,1.05,5.85,6.7,23-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
23-Nov-2019 - 00:00,19.43,993.43,193.58,144.98,57.88,66.1,238.65,1.35,1.8,20.08,26.45,13.21,3.96,9.77,0.72,4.19,5.42,24-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
24-Nov-2019 - 00:00,19.36,992.79,173.23,132.4,59.43,75.41,199.64,1.24,1.43,16.15,26.33,11.01,3.25,8.01,0.66,4.37,6.19,25-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
25-Nov-2019 - 00:00,19.03,993.28,195.28,127.69,59.7,76.28,143.93,0.82,1.96,21.93,25.72,13.45,5.23,10.92,0.78,4.3,5.87,26-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
26-Nov-2019 - 00:00,21.21,992.7,192.33,102.28,54.44,67.95,122.12,1.17,3.84,36.19,26.11,13.57,19.23,22.41,1.07,32.39,7.63,27-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
27-Nov-2019 - 00:00,18.84,992.62,101.27,62.38,62.17,50.44,126.82,1.27,1.68,24.4,24.41,13.12,5.17,10.7,0.58,18.59,6.19,28-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
28-Nov-2019 - 00:00,18.45,993.52,46.01,27.31,61.56,59.67,117.62,1.9,2.81,14.71,21.55,15.33,2.35,9.57,0.49,34.1,5.66,29-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
29-Nov-2019 - 00:00,17.4,994.09,83.74,54.29,65.36,83.31,46.76,1.26,3.14,14.89,20.66,21.01,5.34,15.02,0.62,31.49,7.47,30-Nov-2019 - 00:00,"Najafgarh, Delhi - DPCC"
30-Nov-2019 - 00:00,15.59,994.26,103.45,77.99,70.98,58.71,209.41,1.22,2.73,8.44,26.8,20.84,3.41,13.45,0.61,27.46,7.05,01-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
01-Dec-2019 - 00:00,14.34,993.83,135.07,102.26,65.42,87.02,205.59,1.14,1.97,4.24,30.95,20.92,5.01,14.7,0.63,41.12,7.46,02-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
02-Dec-2019 - 00:00,14.23,994.42,155.61,110.56,61.04,90.91,205.34,1.37,2.14,4.83,29.9,25.52,6.92,18.71,0.64,43.16,8.97,03-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
03-Dec-2019 - 00:00,14.06,993.85,165.21,113.03,59.2,92.65,263.46,1.45,2.28,5.02,30.23,27.89,3.79,17.42,0.61,44.02,8.57,04-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
04-Dec-2019 - 00:00,13.62,995.87,192.98,131.16,60.43,81.96,156.29,0.91,3.39,17.31,32.71,35.96,11.34,27.88,0.87,39.56,7.19,05-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
05-Dec-2019 - 00:00,13.77,997.68,256.07,185.23,62.1,80.07,153.24,0.77,4.37,33.32,40.8,35.93,15.01,30.85,1.01,44.99,6.93,06-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
06-Dec-2019 - 00:00,14.29,997.14,303.94,238.91,67.21,64.92,212.21,0.98,4.47,21.58,52.15,34.03,14.2,29.17,1.09,35.41,6.46,07-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
07-Dec-2019 - 00:00,14.24,996.06,232.02,180.56,66.54,69.43,173.73,0.86,4.29,19.01,44.81,33.24,10.41,25.66,0.95,39.54,6.86,08-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
08-Dec-2019 - 00:00,14.34,995.77,205.04,166.21,65.0,70.19,176.15,0.88,4.15,13.92,43.1,34.01,15.26,30.04,0.92,36.54,6.42,09-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
09-Dec-2019 - 00:00,13.93,995.03,196.01,155.45,64.81,74.81,221.06,0.79,3.32,14.07,38.8,33.22,15.09,29.45,0.89,40.55,6.04,10-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
10-Dec-2019 - 00:00,13.28,992.32,217.51,173.23,65.71,71.13,202.19,0.83,3.73,12.76,40.53,32.06,15.61,29.28,1.03,41.89,6.41,11-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
11-Dec-2019 - 00:00,14.62,990.88,313.92,220.12,64.86,60.96,148.76,1.0,5.38,29.63,46.9,46.78,20.97,41.45,1.51,43.25,6.95,12-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
12-Dec-2019 - 00:00,16.5,989.5,355.74,251.54,63.72,49.74,152.5,2.41,6.28,22.15,62.78,48.64,25.45,46.11,1.98,68.93,10.01,13-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
13-Dec-2019 - 00:00,15.28,990.85,113.0,97.0,71.98,40.84,209.7,2.1,1.69,4.75,35.32,12.59,1.95,7.8,0.71,34.1,11.08,14-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
14-Dec-2019 - 00:00,12.93,996.75,100.71,76.28,72.57,65.18,99.23,0.95,2.24,16.68,28.33,27.2,4.25,17.44,0.68,25.18,9.16,15-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
15-Dec-2019 - 00:00,12.8,996.55,113.96,86.45,72.9,69.66,249.22,1.37,2.17,7.49,30.12,17.44,3.47,11.61,0.68,25.23,7.99,16-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
16-Dec-2019 - 00:00,11.3,997.15,98.14,72.83,73.81,21.53,207.72,1.84,1.79,4.03,28.95,11.4,1.65,6.9,0.55,28.88,8.14,17-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
17-Dec-2019 - 00:00,10.48,998.04,96.32,74.91,72.03,30.77,161.28,1.51,1.5,4.09,34.4,10.8,2.98,7.68,0.51,28.14,7.84,18-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
18-Dec-2019 - 00:00,10.67,996.81,145.11,108.29,72.12,70.61,256.95,1.07,2.09,3.72,39.38,18.17,4.11,12.5,0.66,32.66,6.94,19-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
19-Dec-2019 - 00:00,8.74,995.39,242.69,192.79,78.11,35.73,208.16,0.77,5.72,35.73,44.9,40.23,21.69,38.99,1.43,9.64,4.9,20-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
20-Dec-2019 - 00:00,10.17,993.21,251.54,193.04,79.01,32.68,219.66,0.89,5.53,23.4,54.14,28.72,3.8,18.42,1.24,18.55,5.29,21-Dec-2019 - 00:00,"Najafgarh, Delhi - DPCC"
