from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,BP,station
11-Jan-2019 - 00:00,26.83,11.45,15.96,31.09,7.41,238.7,326.91,0.0,69.72,165.26,17.18,-0.09,279.3,0.54,1.52,72.48,52.28,46.14,98.21,38.08,11.91,12-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
12-Jan-2019 - 00:00,22.1,10.73,13.71,31.07,6.62,251.32,353.48,0.0,67.18,159.01,17.76,-0.08,267.52,0.52,1.22,66.07,43.8,48.55,90.31,33.07,13.79,13-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
13-Jan-2019 - 00:00,15.96,6.19,10.18,17.79,4.83,201.9,261.97,0.0,69.06,163.9,18.09,-0.08,264.73,0.49,0.88,60.47,24.66,40.93,61.65,35.76,10.76,14-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
14-Jan-2019 - 00:00,25.32,11.56,16.08,20.05,9.24,274.32,363.38,0.0,70.42,121.85,19.0,-0.05,267.14,0.29,1.3,62.67,25.4,49.48,73.03,34.0,20.26,15-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
15-Jan-2019 - 00:00,17.53,7.84,9.72,17.63,4.36,218.8,285.78,0.0,62.25,154.58,18.47,-0.1,228.44,0.61,1.21,60.48,19.08,46.95,64.76,37.2,13.31,16-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
16-Jan-2019 - 00:00,15.21,5.95,8.84,15.07,3.99,165.18,231.35,0.0,58.37,188.79,16.96,-0.1,246.9,0.62,1.06,58.75,18.08,45.8,60.66,41.77,13.85,17-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
17-Jan-2019 - 00:00,17.15,5.3,9.35,17.81,4.35,266.65,277.56,0.0,62.6,178.36,16.88,-0.07,279.3,0.42,1.11,65.47,22.4,52.07,74.48,42.27,12.37,18-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
18-Jan-2019 - 00:00,17.35,6.58,10.44,17.52,4.96,200.58,,0.0,71.25,155.47,17.75,-0.05,266.15,0.37,1.12,64.4,22.13,48.69,70.81,39.92,16.17,19-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
19-Jan-2019 - 00:00,15.21,8.86,13.25,21.64,6.37,238.49,261.9,0.0,66.35,163.0,17.74,-0.07,268.84,0.46,1.1,74.04,35.13,52.69,87.83,41.29,11.29,20-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
20-Jan-2019 - 00:00,18.6,6.7,11.23,22.01,5.6,223.45,305.16,0.0,68.34,161.25,18.18,-0.07,265.79,0.39,1.25,73.52,40.06,50.91,90.96,39.24,9.44,21-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
21-Jan-2019 - 00:00,25.87,14.46,19.83,21.71,11.36,245.5,361.85,0.0,67.97,156.51,18.96,-0.06,266.58,0.35,1.85,97.17,66.26,66.17,132.4,38.22,13.66,22-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
22-Jan-2019 - 00:00,38.75,29.07,34.33,38.34,14.87,307.88,436.23,0.0,69.64,142.99,19.56,-0.04,220.53,0.21,2.25,139.45,106.64,79.78,158.25,35.79,19.95,23-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
23-Jan-2019 - 00:00,35.96,18.57,22.53,32.11,10.63,240.95,348.48,0.0,66.7,160.41,20.55,-0.04,183.55,0.25,1.27,82.58,44.23,47.91,92.14,35.89,14.15,24-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
24-Jan-2019 - 00:00,27.03,8.83,13.1,27.32,6.27,216.73,317.72,0.0,66.95,150.41,21.5,-0.04,169.96,0.22,1.14,66.97,37.16,57.43,74.01,36.13,18.78,25-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
25-Jan-2019 - 00:00,11.26,4.88,6.58,13.91,3.09,210.56,302.65,0.0,65.75,157.73,21.68,-0.05,146.74,0.38,1.31,63.27,36.03,77.8,41.77,35.33,18.85,26-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
26-Jan-2019 - 00:00,10.16,3.03,5.11,9.63,2.25,137.55,205.19,0.0,63.64,154.19,21.89,-0.09,227.01,0.74,0.62,59.04,11.75,42.61,30.86,41.19,13.91,27-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
27-Jan-2019 - 00:00,11.18,2.07,4.32,7.26,1.91,118.11,173.98,0.0,66.61,135.29,21.24,-0.12,257.2,0.76,0.72,53.62,7.66,36.08,28.43,33.17,13.96,28-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
28-Jan-2019 - 00:00,8.34,2.94,4.38,8.3,1.85,90.65,146.99,0.0,71.84,96.01,20.03,-0.13,298.18,0.94,0.5,49.38,5.41,32.35,26.95,34.5,11.03,29-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
29-Jan-2019 - 00:00,10.79,5.0,6.47,10.34,3.87,105.97,165.44,0.0,55.63,159.5,18.81,-0.18,310.64,1.11,0.45,48.41,12.14,47.47,35.33,45.39,9.0,30-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
30-Jan-2019 - 00:00,11.18,4.97,6.28,11.74,2.86,113.71,189.21,0.0,50.09,195.27,17.26,-0.11,272.54,0.71,0.63,51.85,20.72,65.19,44.46,40.52,12.77,31-Jan-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
31-Jan-2019 - 00:00,18.15,6.8,9.71,15.55,4.59,176.48,251.02,0.0,62.0,176.86,18.03,-0.11,232.23,0.57,1.16,60.46,36.79,84.41,47.62,37.5,16.41,01-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
01-Feb-2019 - 00:00,15.17,6.04,7.83,14.92,3.71,167.06,232.81,0.0,62.82,166.45,19.37,-0.13,287.14,0.33,1.23,55.22,25.69,73.13,47.44,37.17,16.42,02-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
02-Feb-2019 - 00:00,23.04,13.76,18.53,34.49,9.25,214.93,307.15,0.0,62.43,177.44,20.29,-0.06,273.43,0.38,1.43,54.81,52.09,101.17,49.08,38.74,14.54,03-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
03-Feb-2019 - 00:00,18.86,10.07,15.86,19.86,6.72,197.59,280.92,0.0,58.74,174.99,20.87,-0.07,179.33,0.37,0.86,55.22,26.62,69.98,43.37,39.15,19.21,04-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
04-Feb-2019 - 00:00,19.23,9.29,14.7,16.37,6.42,169.61,296.8,0.0,58.31,175.45,20.68,-0.08,260.49,0.43,1.13,58.14,48.34,95.81,47.48,34.85,14.64,05-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
05-Feb-2019 - 00:00,21.79,14.49,17.71,28.82,7.65,190.36,282.62,0.0,60.57,181.27,20.04,-0.08,279.74,0.53,1.33,55.78,37.29,81.29,44.0,38.93,16.08,06-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
06-Feb-2019 - 00:00,24.79,13.49,17.15,26.29,7.83,205.0,304.82,0.0,61.13,164.7,20.98,-0.05,231.16,0.35,1.66,54.32,38.82,88.07,49.26,35.59,22.53,07-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
07-Feb-2019 - 00:00,33.93,24.88,24.1,30.07,11.97,206.89,328.52,0.01,60.12,162.36,22.86,-0.04,169.66,0.35,1.34,59.81,50.45,104.65,54.2,35.37,20.37,08-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
08-Feb-2019 - 00:00,14.08,15.42,12.65,13.98,5.27,153.9,242.91,0.0,61.14,152.06,23.93,-0.06,170.14,0.41,0.61,55.89,10.74,43.63,32.89,42.93,20.58,09-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
09-Feb-2019 - 00:00,6.43,1.98,2.8,6.16,1.25,108.7,158.74,0.0,67.83,132.69,22.08,-0.11,184.95,0.98,0.49,53.15,3.59,27.63,24.05,47.8,12.43,10-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
10-Feb-2019 - 00:00,4.57,1.62,2.84,4.69,1.2,55.37,106.38,0.0,56.03,224.87,19.87,-0.17,264.39,1.08,0.61,43.53,4.47,32.51,28.04,49.08,8.09,11-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
11-Feb-2019 - 00:00,8.45,3.43,5.58,9.5,2.37,97.49,176.45,0.0,59.15,226.69,19.25,-0.12,262.76,0.84,1.04,47.85,13.98,53.84,39.87,41.67,12.44,12-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
12-Feb-2019 - 00:00,12.51,5.66,8.02,11.98,3.65,134.91,197.62,0.0,58.91,214.67,19.87,-0.11,232.1,0.68,1.11,54.27,24.99,68.03,43.04,39.52,10.88,13-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
13-Feb-2019 - 00:00,13.3,5.79,8.48,16.63,3.88,149.24,225.48,0.0,57.98,205.04,20.73,-0.08,262.6,0.6,0.9,58.01,27.41,75.23,47.83,38.71,18.28,14-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
14-Feb-2019 - 00:00,21.34,9.29,14.44,28.54,7.83,189.96,281.37,0.0,59.23,192.52,22.13,-0.05,246.12,0.34,1.09,63.91,40.47,88.9,48.42,38.77,19.88,15-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
15-Feb-2019 - 00:00,23.39,11.6,13.66,25.57,6.51,217.65,336.24,0.0,60.76,187.58,23.16,-0.08,218.56,0.46,1.29,63.13,38.62,95.95,57.33,39.44,30.41,16-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
16-Feb-2019 - 00:00,13.43,6.03,7.93,16.48,4.03,104.45,165.85,0.0,68.19,123.31,21.71,-0.07,253.4,0.7,0.84,61.48,16.57,57.92,41.35,26.01,14.98,17-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
17-Feb-2019 - 00:00,7.56,3.35,4.74,9.22,2.53,81.05,139.8,0.0,64.61,205.78,22.34,-0.08,261.76,0.67,0.73,62.05,11.33,46.62,35.29,38.57,10.96,18-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
18-Feb-2019 - 00:00,10.72,5.21,6.76,11.81,3.34,116.66,196.8,0.0,55.68,204.64,21.57,-0.07,193.35,0.45,0.85,54.9,18.97,67.89,48.92,48.46,16.04,19-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
19-Feb-2019 - 00:00,12.15,10.34,9.74,13.23,4.94,143.73,223.76,0.0,64.26,205.24,23.59,-0.03,219.68,0.6,0.53,61.72,24.53,64.29,39.76,65.52,21.65,20-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
20-Feb-2019 - 00:00,7.81,3.97,4.86,8.51,2.35,97.48,155.1,0.0,65.81,201.23,25.38,-0.04,238.43,0.59,0.77,60.27,12.71,34.15,39.29,34.51,15.28,21-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
21-Feb-2019 - 00:00,11.51,6.95,7.37,13.14,3.66,137.12,221.53,0.0,66.38,199.76,24.85,-0.06,259.02,0.41,0.73,64.18,10.92,33.33,44.25,39.05,14.04,22-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
22-Feb-2019 - 00:00,6.94,2.53,3.53,6.11,1.63,82.47,138.28,0.0,75.75,196.35,25.69,-0.04,225.92,0.52,0.61,58.6,7.17,24.6,31.77,26.45,27.65,23-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
23-Feb-2019 - 00:00,8.7,2.89,4.8,8.24,2.3,104.28,175.76,0.0,65.14,198.84,26.43,-0.07,262.28,0.53,0.84,58.71,9.42,27.73,37.15,41.56,12.1,24-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
24-Feb-2019 - 00:00,11.21,4.39,6.95,10.78,3.1,121.27,214.26,0.0,48.1,209.29,26.01,-0.08,157.97,0.58,0.47,61.51,13.97,37.87,51.84,46.54,18.81,25-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
25-Feb-2019 - 00:00,7.23,3.57,4.2,6.66,2.27,73.74,124.27,0.21,85.3,92.22,20.72,-0.11,191.77,0.98,0.46,53.56,4.87,30.38,35.24,30.66,8.52,26-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
26-Feb-2019 - 00:00,7.27,6.15,4.81,8.07,1.96,49.2,68.62,0.25,95.92,66.91,21.02,-0.03,130.25,0.95,0.61,50.35,6.22,27.65,33.87,17.3,7.04,27-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
27-Feb-2019 - 00:00,2.4,1.82,1.79,3.8,0.74,25.63,36.47,0.41,90.16,150.04,21.24,-0.05,165.3,1.13,0.5,46.58,4.36,23.71,28.07,24.85,5.03,28-Feb-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
28-Feb-2019 - 00:00,8.84,4.88,5.94,13.23,2.67,40.39,55.93,0.52,93.38,103.64,20.44,-0.1,217.12,0.77,0.76,49.58,15.94,26.57,42.51,20.85,5.52,01-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
01-Mar-2019 - 00:00,14.5,5.37,8.14,15.04,3.53,70.89,110.54,0.0,67.4,245.44,20.52,-0.12,183.97,0.76,0.53,52.66,22.88,30.85,53.73,37.67,7.35,02-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
02-Mar-2019 - 00:00,16.72,10.78,13.14,18.7,6.73,95.45,179.36,0.0,62.2,244.47,20.89,-0.07,196.82,0.46,0.94,53.56,46.5,38.09,84.57,40.01,10.55,03-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
03-Mar-2019 - 00:00,20.54,11.33,14.38,21.54,6.87,148.32,240.64,0.0,67.21,202.37,22.14,-0.05,248.96,0.37,1.18,65.06,57.29,40.59,97.88,39.85,15.22,04-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
04-Mar-2019 - 00:00,6.82,2.77,4.1,7.22,1.89,99.54,160.77,0.0,87.8,118.28,23.97,-0.03,193.39,0.62,0.66,52.09,4.0,23.72,27.72,25.49,8.76,05-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
05-Mar-2019 - 00:00,8.45,3.98,5.38,10.78,3.27,67.9,106.6,0.08,82.91,139.98,24.63,-0.05,133.12,0.57,0.78,37.83,6.68,39.01,44.74,25.58,10.05,06-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
06-Mar-2019 - 00:00,11.68,4.69,6.04,11.24,2.85,99.49,139.08,0.0,79.3,148.33,23.94,-0.07,154.64,0.49,0.97,35.71,13.44,54.59,67.81,26.54,12.49,07-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
07-Mar-2019 - 00:00,16.18,7.12,9.06,15.15,4.16,112.52,156.34,0.0,60.54,221.79,23.58,-0.13,224.62,0.83,0.84,30.87,20.4,57.85,78.25,41.08,14.15,08-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
08-Mar-2019 - 00:00,10.59,5.59,6.57,11.95,3.08,97.63,149.03,0.0,53.5,244.38,23.74,-0.08,245.49,0.6,0.75,32.77,19.82,60.52,80.33,39.88,13.72,09-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
09-Mar-2019 - 00:00,7.92,3.04,4.01,9.93,1.97,89.1,137.35,0.0,48.07,264.49,25.35,-0.04,256.13,0.49,0.75,25.39,5.41,44.76,50.16,46.54,17.32,10-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
10-Mar-2019 - 00:00,3.22,1.11,1.79,4.68,0.86,65.01,93.47,0.0,83.98,177.13,25.88,-0.02,183.95,1.01,0.59,23.11,3.48,26.22,29.71,22.1,11.51,11-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
11-Mar-2019 - 00:00,4.9,4.3,3.81,7.37,2.17,70.42,105.21,0.0,78.24,150.2,27.52,-0.03,209.31,0.38,0.64,22.23,5.52,33.62,39.14,24.81,14.8,12-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
12-Mar-2019 - 00:00,4.53,2.87,3.23,6.23,1.96,80.68,119.01,0.0,74.98,220.39,27.8,-0.03,243.38,0.67,0.44,18.19,3.12,25.31,28.42,38.31,24.39,13-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
13-Mar-2019 - 00:00,6.18,5.34,4.11,8.88,1.78,70.3,107.69,0.0,75.7,198.68,28.5,-0.04,234.56,0.63,0.63,17.53,3.41,29.1,32.51,32.12,17.91,14-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
14-Mar-2019 - 00:00,7.16,3.99,3.5,8.47,1.6,92.89,131.87,0.05,65.64,211.14,28.9,-0.05,237.42,0.64,0.67,15.81,2.8,29.0,31.8,51.76,23.18,15-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
15-Mar-2019 - 00:00,5.96,2.96,3.16,8.56,1.51,73.24,92.43,0.0,69.86,170.87,26.43,-0.08,284.12,0.63,0.71,16.63,3.21,32.05,35.24,41.9,13.58,16-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
16-Mar-2019 - 00:00,4.9,2.91,2.95,6.59,1.36,49.72,74.18,0.0,63.42,191.19,26.19,-0.07,242.11,0.68,0.66,14.62,3.21,29.36,32.57,39.27,15.46,17-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
17-Mar-2019 - 00:00,4.98,2.49,2.47,7.05,1.22,71.23,97.35,0.11,70.99,210.11,26.79,-0.05,224.25,0.72,0.49,14.28,2.81,24.41,27.22,50.75,15.2,18-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
18-Mar-2019 - 00:00,7.06,4.19,4.59,7.92,3.0,46.45,62.86,0.0,68.67,173.47,24.56,-0.05,218.09,0.68,0.55,15.34,3.08,32.58,35.67,38.31,11.44,19-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
19-Mar-2019 - 00:00,3.99,1.57,1.95,5.12,0.94,55.78,74.43,0.0,72.05,228.57,26.44,-0.03,236.61,0.65,0.59,13.39,2.45,21.43,23.88,48.39,18.69,20-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
20-Mar-2019 - 00:00,4.46,1.77,2.55,7.07,1.26,70.81,96.4,0.0,77.76,223.31,27.32,-0.04,227.41,0.52,0.73,15.39,3.76,29.69,33.45,34.95,24.19,21-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
21-Mar-2019 - 00:00,3.09,0.73,1.47,5.16,0.78,60.15,74.26,0.0,71.97,256.04,28.16,-0.03,213.06,0.64,0.57,12.81,2.41,17.91,20.31,47.51,15.16,22-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
22-Mar-2019 - 00:00,2.5,0.65,1.21,4.77,0.66,49.79,60.77,0.03,80.52,232.06,27.07,-0.05,224.09,0.82,0.51,12.92,2.61,21.7,24.31,38.86,14.35,23-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
23-Mar-2019 - 00:00,6.93,2.67,4.55,8.92,2.26,68.91,107.4,0.0,59.89,269.65,27.4,-0.08,257.11,0.56,0.71,17.84,11.8,45.68,57.47,39.9,14.85,24-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
24-Mar-2019 - 00:00,7.21,2.11,4.19,9.01,2.05,78.96,120.49,0.0,44.64,286.19,26.98,-0.08,279.24,0.61,0.72,15.8,5.57,39.41,44.98,50.65,13.8,25-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
25-Mar-2019 - 00:00,9.7,2.69,5.89,10.15,2.87,104.68,149.61,0.0,64.68,212.78,24.74,-0.06,265.76,0.24,0.87,18.58,7.29,41.84,49.13,31.01,19.33,26-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
28-Mar-2019 - 00:00,3.35,1.46,1.89,3.35,,87.33,74.72,0.0,64.95,463.2,,-0.12,223.74,1.46,0.7,15.67,2.67,21.87,23.69,44.26,18.91,29-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
29-Mar-2019 - 00:00,2.47,1.1,1.67,4.32,,84.12,48.99,0.0,78.53,399.1,,-0.12,186.22,1.83,0.48,15.19,2.94,22.75,25.69,29.7,19.64,30-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
30-Mar-2019 - 00:00,4.32,2.57,3.1,5.08,,82.25,52.91,0.0,79.59,9.19,,-0.12,219.01,1.55,0.57,14.46,2.8,22.82,25.64,32.36,17.89,31-Mar-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
31-Mar-2019 - 00:00,3.46,0.72,1.26,4.47,,71.3,44.45,0.0,82.25,238.81,,-0.12,186.73,2.02,0.68,13.87,2.67,17.88,20.54,27.64,18.25,01-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
01-Apr-2019 - 00:00,3.23,2.86,2.67,4.99,,40.33,57.45,0.0,73.28,153.89,,-0.13,138.3,2.53,0.45,11.91,2.36,18.35,20.71,35.94,4.44,02-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
02-Apr-2019 - 00:00,2.45,0.86,1.32,4.88,,51.84,70.31,0.0,79.76,207.93,,-0.12,192.2,1.49,0.43,14.64,3.51,24.14,27.65,29.98,28.36,03-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
03-Apr-2019 - 00:00,2.41,2.65,2.05,4.87,,42.94,70.58,0.0,77.59,247.42,,-0.12,166.24,1.85,0.47,15.91,2.62,20.9,23.52,32.12,15.16,04-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
04-Apr-2019 - 00:00,1.76,1.23,1.36,4.35,,37.15,65.72,0.0,79.12,188.66,,-0.12,178.6,2.02,0.52,16.47,2.95,19.62,22.57,27.0,21.21,05-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
05-Apr-2019 - 00:00,1.94,0.71,1.15,4.97,,41.12,65.49,0.0,74.29,161.53,,-0.13,174.85,2.12,0.5,14.6,3.25,16.83,20.08,32.42,11.33,06-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
06-Apr-2019 - 00:00,3.31,0.92,1.67,6.96,,38.25,57.56,0.0,73.78,213.0,,-0.14,218.35,1.82,0.46,7.52,3.14,15.23,18.36,34.21,17.19,07-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
07-Apr-2019 - 00:00,3.48,1.11,1.65,6.21,,36.46,47.89,0.0,70.62,211.73,,-0.13,194.84,1.67,0.42,7.42,2.59,15.99,18.56,46.55,16.53,08-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
08-Apr-2019 - 00:00,2.62,0.87,1.44,5.01,,32.87,51.55,0.0,64.6,208.97,,-0.12,209.55,1.64,0.37,7.26,2.37,13.33,15.7,44.45,17.23,09-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
09-Apr-2019 - 00:00,3.04,1.17,1.75,5.37,,30.74,48.51,0.04,75.89,222.5,,-0.13,194.9,1.82,0.57,7.66,2.62,14.37,16.99,32.82,15.39,10-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
10-Apr-2019 - 00:00,3.0,0.97,1.72,5.54,,26.28,43.44,0.04,81.18,225.55,,-0.12,192.25,1.95,0.57,8.52,2.72,13.97,16.69,28.67,15.73,11-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
11-Apr-2019 - 00:00,2.93,1.69,2.46,5.96,,31.84,63.82,0.0,82.58,190.88,,-0.11,183.27,1.69,0.55,9.0,3.11,12.71,15.81,25.7,19.46,12-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
12-Apr-2019 - 00:00,5.64,2.82,3.1,12.15,,41.03,82.12,0.0,80.06,220.72,,-0.12,177.3,1.48,0.4,7.93,2.4,12.09,14.5,37.57,8.07,13-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
13-Apr-2019 - 00:00,5.07,3.33,3.37,12.31,,44.39,67.5,0.0,69.74,235.26,,-0.12,152.57,1.7,0.44,7.62,2.9,14.53,17.44,43.07,16.45,14-Apr-2019 - 00:00,,"Padmapukur, Howrah - WBPCB"
