from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
09-May-2018 - 00:00,26.96,983.63,96.41,211.52,60.47,188.63,150.2,0.77,0.02,1.13,15.18,1.6,64.9,25.85,41.12,15.7,0.77,44.18,10.51,10-May-2018 - 00:00,"Narela, Delhi - DPCC"
10-May-2018 - 00:00,30.84,984.3,144.39,279.47,45.33,243.88,218.85,0.77,0.0,0.73,8.08,0.95,76.79,25.29,40.29,15.22,0.84,50.7,11.1,11-May-2018 - 00:00,"Narela, Delhi - DPCC"
11-May-2018 - 00:00,34.05,981.13,194.03,414.87,35.78,222.64,254.76,0.99,0.0,1.33,10.66,1.67,67.27,34.04,48.12,16.48,1.16,76.88,16.04,12-May-2018 - 00:00,"Narela, Delhi - DPCC"
12-May-2018 - 00:00,34.24,980.44,196.74,461.4,41.5,175.95,131.1,1.26,0.0,0.95,6.9,0.75,84.37,44.83,58.93,21.59,1.44,65.48,14.52,13-May-2018 - 00:00,"Narela, Delhi - DPCC"
13-May-2018 - 00:00,31.95,980.75,96.44,310.2,48.69,193.78,105.32,2.2,0.0,0.45,2.89,0.27,78.0,22.28,30.47,9.27,0.67,44.11,5.95,14-May-2018 - 00:00,"Narela, Delhi - DPCC"
14-May-2018 - 00:00,29.42,982.34,73.47,182.41,49.16,211.24,117.98,1.32,0.0,0.72,6.66,0.6,53.46,22.43,27.44,5.39,0.6,51.09,8.71,15-May-2018 - 00:00,"Narela, Delhi - DPCC"
15-May-2018 - 00:00,31.73,980.83,110.99,257.52,49.73,206.66,93.58,1.52,0.0,0.87,8.15,0.75,70.02,25.1,31.94,8.8,0.75,44.79,9.35,16-May-2018 - 00:00,"Narela, Delhi - DPCC"
16-May-2018 - 00:00,32.82,979.82,104.81,230.92,42.64,243.73,254.32,1.47,0.08,0.62,4.56,0.57,59.06,21.81,27.78,7.67,0.68,40.18,7.85,17-May-2018 - 00:00,"Narela, Delhi - DPCC"
17-May-2018 - 00:00,34.02,979.72,131.42,328.35,31.88,218.06,215.68,0.97,0.0,1.01,10.38,1.14,57.83,21.12,26.43,5.05,0.65,42.82,10.73,18-May-2018 - 00:00,"Narela, Delhi - DPCC"
18-May-2018 - 00:00,33.46,979.84,137.85,339.05,33.02,203.31,127.55,1.18,0.0,1.62,14.05,1.55,59.48,25.32,37.61,13.4,0.85,29.64,13.21,19-May-2018 - 00:00,"Narela, Delhi - DPCC"
19-May-2018 - 00:00,33.65,979.47,146.23,353.3,36.56,224.35,228.97,0.82,0.0,0.96,4.5,0.46,62.44,32.74,44.78,15.37,0.89,26.22,12.26,20-May-2018 - 00:00,"Narela, Delhi - DPCC"
20-May-2018 - 00:00,34.46,980.83,116.21,299.71,23.8,236.87,251.77,1.45,0.0,2.42,15.74,1.87,43.26,22.03,22.32,7.27,0.65,13.95,7.92,21-May-2018 - 00:00,"Narela, Delhi - DPCC"
21-May-2018 - 00:00,36.17,980.96,87.41,285.42,13.12,269.54,263.25,1.99,0.0,17.56,9.79,1.47,50.49,16.85,19.93,2.72,0.49,1.72,6.4,22-May-2018 - 00:00,"Narela, Delhi - DPCC"
22-May-2018 - 00:00,36.05,979.97,120.69,318.84,17.12,253.64,194.3,1.17,0.0,18.28,9.72,4.4,43.73,47.13,33.36,14.22,0.92,38.67,2.71,23-May-2018 - 00:00,"Narela, Delhi - DPCC"
23-May-2018 - 00:00,35.79,979.22,146.47,384.68,24.35,242.11,146.77,1.01,0.0,4.87,14.88,2.04,51.29,47.44,44.31,19.0,0.96,32.79,9.8,24-May-2018 - 00:00,"Narela, Delhi - DPCC"
24-May-2018 - 00:00,35.7,978.24,121.1,328.35,19.5,231.05,223.25,1.36,0.0,2.61,19.01,2.4,64.3,24.76,27.52,6.66,0.74,22.76,14.01,25-May-2018 - 00:00,"Narela, Delhi - DPCC"
25-May-2018 - 00:00,35.94,978.41,102.76,311.65,14.76,277.93,283.7,1.3,0.0,3.44,7.2,0.9,37.38,36.23,37.02,16.47,0.73,29.45,10.21,26-May-2018 - 00:00,"Narela, Delhi - DPCC"
26-May-2018 - 00:00,36.43,977.28,104.64,260.92,15.57,278.44,255.55,0.96,0.0,3.3,6.35,1.33,33.99,36.7,29.98,13.95,0.74,29.88,8.18,27-May-2018 - 00:00,"Narela, Delhi - DPCC"
27-May-2018 - 00:00,36.75,976.7,140.17,382.68,17.31,255.45,195.5,1.15,0.0,1.28,4.54,0.56,36.26,32.67,31.8,16.4,0.85,31.05,8.12,28-May-2018 - 00:00,"Narela, Delhi - DPCC"
28-May-2018 - 00:00,35.21,975.56,136.37,338.16,27.58,232.1,95.17,1.18,0.0,1.97,8.73,1.08,53.69,38.39,31.42,14.46,0.96,32.38,12.46,29-May-2018 - 00:00,"Narela, Delhi - DPCC"
29-May-2018 - 00:00,36.23,974.36,139.98,392.35,31.56,245.41,166.45,1.48,0.0,2.21,6.76,0.84,64.99,41.32,43.15,18.71,1.03,37.5,8.44,30-May-2018 - 00:00,"Narela, Delhi - DPCC"
30-May-2018 - 00:00,34.89,976.15,82.25,370.4,39.14,227.4,133.71,2.36,0.0,0.34,1.98,0.3,74.51,24.09,32.62,8.42,0.56,36.41,5.89,31-May-2018 - 00:00,"Narela, Delhi - DPCC"
31-May-2018 - 00:00,35.33,977.96,96.66,289.42,42.27,238.8,122.35,1.45,0.0,0.85,4.7,0.61,57.23,31.95,37.2,10.87,0.79,46.16,7.12,01-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
01-Jun-2018 - 00:00,33.77,979.26,80.69,250.19,48.58,244.1,112.93,2.36,0.0,0.39,2.84,0.33,68.11,21.01,27.47,5.81,0.64,35.56,6.96,02-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
02-Jun-2018 - 00:00,31.5,979.9,63.14,178.8,48.07,233.8,113.43,2.04,0.0,0.35,1.22,0.23,48.08,26.74,32.82,9.94,0.53,34.86,6.39,03-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
03-Jun-2018 - 00:00,32.79,977.62,69.23,165.91,53.47,241.46,106.12,2.04,0.0,0.4,2.45,0.29,61.52,18.25,25.07,6.07,0.64,33.99,5.89,04-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
04-Jun-2018 - 00:00,35.35,976.55,73.7,213.47,48.02,223.52,115.45,2.06,0.0,0.54,2.79,0.33,62.83,24.15,32.14,8.83,0.6,27.97,4.85,05-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
05-Jun-2018 - 00:00,35.65,979.02,65.33,173.51,46.8,224.77,109.83,2.06,0.0,0.37,1.94,0.26,60.19,22.63,30.07,7.65,0.63,17.44,6.17,06-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
06-Jun-2018 - 00:00,31.74,980.99,64.08,166.07,59.58,156.81,76.0,2.07,0.0,0.82,7.68,0.7,54.83,13.91,18.82,4.14,0.62,11.46,4.8,07-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
07-Jun-2018 - 00:00,34.59,976.5,94.81,212.7,54.47,226.6,103.53,1.42,0.0,0.88,5.85,0.49,58.59,22.19,30.03,7.32,0.91,10.64,6.95,08-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
08-Jun-2018 - 00:00,35.09,973.1,91.55,249.15,55.5,213.08,111.51,2.3,0.0,0.66,1.04,0.23,60.5,29.07,40.21,13.38,0.81,11.92,6.34,09-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
09-Jun-2018 - 00:00,31.21,972.85,58.71,158.04,70.2,182.05,139.81,1.98,0.07,0.39,2.85,0.38,59.02,18.37,24.08,7.34,0.71,10.02,3.91,10-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
10-Jun-2018 - 00:00,32.16,973.12,70.72,156.59,64.27,253.08,211.51,0.86,0.0,0.41,2.78,0.35,76.89,19.92,26.96,6.88,0.51,56.57,4.93,11-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
11-Jun-2018 - 00:00,35.16,970.98,69.86,240.75,52.98,264.29,299.34,1.49,0.0,0.36,1.37,0.33,68.26,19.87,26.67,5.73,0.47,64.74,5.36,12-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
12-Jun-2018 - 00:00,40.08,967.79,121.77,845.08,32.97,233.9,310.45,1.64,0.0,0.4,2.95,0.72,42.35,13.58,16.85,2.74,0.36,77.87,4.07,13-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
13-Jun-2018 - 00:00,38.31,968.55,150.21,893.86,34.77,197.78,296.84,1.7,0.0,0.23,0.68,0.21,37.26,10.31,13.8,3.1,0.22,29.83,2.87,14-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
14-Jun-2018 - 00:00,37.57,970.61,126.42,907.44,31.62,204.3,289.06,1.94,0.0,0.22,0.44,0.2,28.31,8.63,11.64,2.21,0.19,42.33,2.2,15-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
15-Jun-2018 - 00:00,36.58,972.9,115.31,683.49,33.05,207.35,257.73,1.85,0.0,0.23,0.6,0.21,26.39,9.05,12.04,2.62,0.23,43.11,3.22,16-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
16-Jun-2018 - 00:00,34.26,975.45,111.4,660.23,48.1,187.67,137.65,1.51,0.0,0.44,3.12,0.33,37.66,15.12,22.18,10.15,0.35,38.34,3.6,17-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
17-Jun-2018 - 00:00,30.72,976.81,62.44,268.19,60.11,221.54,91.19,1.75,0.0,0.64,4.34,0.44,48.15,13.41,22.44,8.89,0.35,47.34,2.81,18-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
18-Jun-2018 - 00:00,31.76,976.63,60.5,181.99,52.71,199.1,232.75,1.39,0.0,0.58,5.55,0.67,47.36,14.58,20.05,5.29,0.38,55.38,5.61,19-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
19-Jun-2018 - 00:00,33.15,976.61,54.3,180.06,50.44,264.9,233.99,1.36,0.0,1.09,11.34,1.52,43.35,12.92,17.42,3.6,0.35,73.99,4.93,20-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
20-Jun-2018 - 00:00,35.69,977.22,68.25,235.49,45.5,244.31,160.8,1.46,0.0,1.22,8.64,0.89,44.68,24.36,30.23,9.53,0.45,80.37,8.16,21-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
21-Jun-2018 - 00:00,36.34,977.02,80.83,399.37,40.11,215.14,193.1,1.22,0.0,1.56,11.27,1.44,49.3,17.37,22.41,4.15,0.45,100.96,8.04,22-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
22-Jun-2018 - 00:00,37.27,975.95,113.29,315.24,37.43,240.54,206.13,0.95,0.0,0.99,8.39,0.98,51.42,22.08,38.91,16.62,0.61,88.53,11.08,23-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
23-Jun-2018 - 00:00,37.45,975.36,103.73,328.6,36.61,225.99,239.22,1.44,0.0,0.95,8.76,0.77,49.09,19.45,21.83,3.47,0.51,81.06,11.75,24-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
24-Jun-2018 - 00:00,37.27,974.71,71.48,221.58,36.29,238.23,248.35,1.76,0.0,0.95,6.69,0.62,39.41,17.29,22.0,6.47,0.38,69.04,9.8,25-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
25-Jun-2018 - 00:00,37.78,973.29,53.15,185.71,46.5,162.13,307.28,2.4,0.0,0.31,2.42,0.45,35.76,20.28,16.3,3.16,0.38,44.3,10.84,26-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
26-Jun-2018 - 00:00,31.33,973.66,15.51,52.56,67.17,36.14,237.3,4.55,,0.72,9.35,,29.21,29.99,20.0,5.0,0.4,41.35,18.31,27-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
27-Jun-2018 - 00:00,30.23,975.73,55.89,119.51,68.73,177.54,148.67,1.73,,0.75,19.97,,44.66,32.04,24.78,9.39,0.51,37.46,7.33,28-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
28-Jun-2018 - 00:00,29.98,977.14,29.22,63.54,69.12,186.27,116.11,1.85,,0.64,9.65,,45.06,35.97,27.85,10.74,0.43,24.67,6.7,29-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
29-Jun-2018 - 00:00,30.55,977.03,40.26,83.56,75.01,160.61,112.81,1.9,,0.68,14.65,,37.73,44.13,34.87,13.91,0.49,25.96,6.29,30-Jun-2018 - 00:00,"Narela, Delhi - DPCC"
30-Jun-2018 - 00:00,30.72,977.36,46.21,83.15,77.89,151.66,153.05,1.03,,0.7,8.67,,41.9,37.56,28.18,10.06,0.59,27.33,6.46,01-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
01-Jul-2018 - 00:00,32.95,975.76,34.73,68.83,70.1,215.38,273.94,1.25,,0.62,2.67,,42.79,23.74,16.55,4.83,0.52,21.8,6.7,02-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
02-Jul-2018 - 00:00,32.85,973.32,41.25,97.31,64.3,224.77,254.13,1.58,,0.6,8.39,,32.53,22.56,15.41,4.17,0.43,31.03,5.79,03-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
03-Jul-2018 - 00:00,30.76,974.08,48.89,115.57,69.65,218.05,91.97,1.43,,0.72,31.01,,32.29,39.44,33.97,15.98,0.48,36.23,9.27,04-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
04-Jul-2018 - 00:00,30.66,974.46,53.85,120.9,69.82,180.59,104.14,1.18,,0.75,29.89,,37.52,32.45,23.61,7.83,0.48,44.22,7.73,05-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
05-Jul-2018 - 00:00,32.21,975.69,58.57,150.45,66.25,228.71,208.01,1.27,,0.72,32.37,,41.33,34.06,24.05,7.31,0.52,33.81,12.08,06-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
06-Jul-2018 - 00:00,33.09,975.71,59.93,158.13,60.78,242.86,306.64,1.21,,0.69,17.36,,48.93,26.35,16.59,3.15,0.46,42.51,8.0,07-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
07-Jul-2018 - 00:00,33.96,974.97,69.28,183.55,56.75,248.22,243.54,1.22,,0.75,25.39,,55.02,28.77,19.23,4.94,0.52,57.37,9.22,08-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
08-Jul-2018 - 00:00,35.06,974.1,81.81,223.83,53.96,259.4,194.66,0.93,,0.81,19.0,,65.26,45.81,41.47,21.11,0.61,40.75,13.68,09-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
09-Jul-2018 - 00:00,34.3,974.08,74.2,189.01,63.21,191.54,128.77,1.42,,0.69,8.45,,56.38,50.3,44.22,21.47,0.66,49.74,14.25,10-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
10-Jul-2018 - 00:00,33.69,974.62,49.42,124.79,68.8,215.96,111.28,1.67,,0.61,12.06,,47.34,36.13,29.18,12.24,0.57,36.17,10.79,11-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
11-Jul-2018 - 00:00,32.55,974.08,43.17,112.5,69.58,155.31,128.46,1.37,,0.68,11.77,,40.68,43.34,34.03,13.44,0.6,25.87,10.08,12-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
12-Jul-2018 - 00:00,32.9,973.49,53.0,125.79,65.77,179.44,170.54,1.13,,0.67,6.63,,37.4,34.17,25.1,8.44,0.47,43.61,9.73,13-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
13-Jul-2018 - 00:00,29.35,974.94,34.04,90.96,75.53,129.64,118.48,1.36,,0.72,18.48,,35.53,36.41,31.98,15.42,0.54,21.21,8.06,14-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
14-Jul-2018 - 00:00,29.04,974.62,31.42,64.04,79.17,189.43,86.63,1.36,,0.67,13.24,,37.93,25.88,20.53,8.18,0.48,20.04,9.13,15-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
15-Jul-2018 - 00:00,30.39,974.16,40.92,87.07,76.31,206.33,106.81,1.36,,0.65,15.79,,36.24,29.52,21.48,7.1,0.62,26.83,8.66,16-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
16-Jul-2018 - 00:00,29.46,974.74,42.58,91.42,81.52,104.08,137.92,1.22,,0.64,16.98,,42.83,37.22,27.34,9.19,0.66,14.76,6.79,17-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
17-Jul-2018 - 00:00,31.87,975.07,45.95,111.52,70.81,171.33,92.31,1.25,,0.63,31.7,,46.6,33.29,25.4,9.41,0.57,32.35,9.33,18-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
18-Jul-2018 - 00:00,31.52,975.71,42.31,102.67,74.32,172.58,79.18,1.44,,0.62,28.24,,52.15,31.4,24.0,8.97,0.53,24.54,8.87,19-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
19-Jul-2018 - 00:00,32.31,975.39,36.91,86.08,72.16,247.68,105.38,1.24,,0.63,17.37,,44.4,28.47,20.09,6.08,0.53,25.88,9.35,20-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
20-Jul-2018 - 00:00,30.2,974.83,41.23,90.3,80.65,108.22,179.79,0.95,,0.65,22.83,,45.04,24.79,19.93,8.29,0.53,23.85,7.78,21-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
21-Jul-2018 - 00:00,29.46,975.09,40.81,83.18,81.76,116.59,152.91,1.04,,0.7,7.99,,47.1,35.84,30.72,14.3,0.6,21.3,9.39,22-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
22-Jul-2018 - 00:00,28.38,975.73,27.43,54.08,84.14,116.36,115.69,0.98,,0.64,11.25,,36.87,23.88,19.61,8.51,0.5,27.72,5.11,23-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
23-Jul-2018 - 00:00,30.45,975.51,32.42,76.35,76.37,153.78,104.08,1.03,,0.69,13.84,,39.44,27.88,20.69,7.19,0.48,32.07,7.7,24-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
24-Jul-2018 - 00:00,31.8,975.96,41.37,94.78,71.26,194.65,122.36,0.89,,0.65,14.33,,41.04,24.3,15.66,3.37,0.55,42.61,9.15,25-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
25-Jul-2018 - 00:00,29.36,975.24,31.49,64.21,79.61,91.75,223.72,0.8,,0.61,4.66,,34.77,22.72,16.31,5.19,0.51,20.58,6.81,26-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
26-Jul-2018 - 00:00,26.87,975.46,24.22,43.83,88.0,50.12,215.38,1.01,,0.62,24.46,,30.46,15.47,12.21,4.88,0.44,19.31,3.84,27-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
27-Jul-2018 - 00:00,26.47,974.57,27.09,56.12,96.07,42.9,123.89,1.26,,0.69,58.44,,30.44,17.96,12.02,3.06,0.49,18.73,5.17,28-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
28-Jul-2018 - 00:00,27.88,975.01,29.33,59.46,84.45,123.42,274.17,1.27,,0.64,19.16,,30.15,13.79,9.38,2.49,0.47,27.08,5.68,29-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
29-Jul-2018 - 00:00,30.95,975.54,47.72,103.93,76.45,246.18,282.23,0.85,,0.63,3.45,,35.9,15.18,12.16,5.02,0.51,21.23,4.53,30-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
30-Jul-2018 - 00:00,30.7,975.13,44.15,106.5,76.07,173.06,271.25,0.83,,0.59,2.31,,39.14,17.31,13.67,5.59,0.49,25.63,3.57,31-Jul-2018 - 00:00,"Narela, Delhi - DPCC"
31-Jul-2018 - 00:00,31.36,974.28,59.64,145.39,71.37,157.44,276.87,1.05,,0.65,3.18,,38.55,18.27,14.77,6.19,0.47,26.27,4.44,01-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
01-Aug-2018 - 00:00,31.71,974.85,74.25,198.51,66.21,241.42,272.06,1.02,,0.61,3.41,,38.93,19.53,15.32,6.04,0.43,31.08,3.11,02-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
02-Aug-2018 - 00:00,32.06,976.11,93.22,252.14,65.89,216.7,288.62,1.09,,0.62,3.08,,33.39,16.05,11.75,3.94,0.38,24.76,4.48,03-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
03-Aug-2018 - 00:00,31.64,976.56,82.32,239.57,63.93,189.12,289.62,1.09,,0.61,2.44,,30.56,14.17,10.02,3.04,0.34,24.24,5.54,04-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
04-Aug-2018 - 00:00,31.91,976.27,89.92,260.11,62.82,219.19,258.35,0.91,,0.67,2.78,,29.51,19.18,14.91,5.75,0.41,23.58,5.82,05-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
05-Aug-2018 - 00:00,30.22,976.36,80.48,242.86,71.26,111.51,230.21,1.38,,0.62,2.14,,29.74,20.66,18.22,8.87,0.43,16.0,5.48,06-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
06-Aug-2018 - 00:00,27.45,977.1,61.29,119.85,88.49,67.62,106.32,1.06,,0.66,22.5,,38.28,22.01,27.74,19.67,0.44,9.28,5.86,07-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
07-Aug-2018 - 00:00,29.11,976.99,50.33,99.69,81.0,139.8,87.28,1.08,,0.66,32.26,,34.61,15.38,13.24,6.21,0.44,20.34,8.99,08-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
08-Aug-2018 - 00:00,29.5,977.54,37.51,74.83,81.31,187.54,99.96,1.31,,0.8,25.25,,31.8,25.79,22.51,10.8,0.54,18.7,8.13,09-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
09-Aug-2018 - 00:00,31.65,979.85,41.67,93.49,71.8,236.99,100.16,1.47,,0.68,20.63,,38.75,23.84,22.04,11.45,0.54,28.22,8.23,10-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
10-Aug-2018 - 00:00,32.43,978.43,55.96,137.18,71.7,213.08,207.03,0.76,,0.79,8.35,,42.13,36.18,34.36,18.54,0.75,27.55,6.64,11-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
11-Aug-2018 - 00:00,32.57,974.66,35.7,90.07,70.64,227.01,285.52,1.24,,0.61,2.49,,36.99,12.27,8.58,2.5,0.41,23.49,4.8,12-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
12-Aug-2018 - 00:00,31.19,973.14,28.02,78.56,69.73,129.12,240.35,0.95,,0.63,3.15,,35.27,15.79,12.62,5.18,0.49,28.19,4.84,13-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
13-Aug-2018 - 00:00,30.97,974.69,32.14,86.5,69.24,146.32,168.98,0.98,,0.63,19.13,,32.08,11.68,10.62,5.44,0.36,24.09,6.1,14-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
14-Aug-2018 - 00:00,31.99,975.67,57.14,138.49,72.08,201.16,131.52,0.99,,0.68,25.78,,38.74,16.34,17.79,11.1,0.6,25.98,6.94,15-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
15-Aug-2018 - 00:00,31.6,977.3,52.06,121.0,71.29,184.57,160.18,1.21,,0.66,4.28,,42.54,16.86,15.21,7.69,0.51,30.14,6.05,16-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
16-Aug-2018 - 00:00,30.85,979.02,39.04,87.67,76.26,175.58,97.76,1.12,,0.73,13.33,,38.3,14.57,12.49,5.82,0.57,28.76,6.72,17-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
17-Aug-2018 - 00:00,31.13,976.74,33.92,85.13,76.6,151.43,94.08,1.49,,0.75,22.93,,37.9,14.88,15.63,9.43,0.57,19.94,5.67,18-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
18-Aug-2018 - 00:00,30.12,976.21,33.47,77.39,81.89,123.7,125.45,1.25,,0.67,16.57,,36.62,15.19,14.85,8.29,0.58,25.45,5.95,19-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
19-Aug-2018 - 00:00,29.27,976.03,44.39,99.51,84.5,86.23,159.49,0.79,,0.74,17.8,,37.85,18.51,14.85,6.11,0.96,18.71,7.22,20-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
20-Aug-2018 - 00:00,31.18,977.62,57.08,118.08,77.59,191.23,130.72,1.02,,0.72,17.99,,42.59,16.19,14.86,7.64,0.79,22.62,5.02,21-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
21-Aug-2018 - 00:00,31.5,977.48,38.84,92.55,74.13,185.56,102.86,1.34,,0.68,13.44,,38.67,17.33,16.15,8.45,0.61,31.31,9.17,22-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
22-Aug-2018 - 00:00,30.34,976.92,36.14,86.58,81.15,104.2,115.91,1.09,,0.68,17.87,,38.26,15.91,14.81,7.8,0.62,16.07,6.56,23-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
23-Aug-2018 - 00:00,29.06,977.47,24.79,53.45,86.99,109.08,244.12,0.92,,0.61,3.16,,30.58,8.94,10.59,7.16,0.52,9.51,4.54,24-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
24-Aug-2018 - 00:00,30.63,976.6,24.0,67.31,76.88,167.1,291.99,0.93,,0.54,1.83,,21.36,4.72,4.91,2.94,0.48,10.54,3.35,25-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
25-Aug-2018 - 00:00,30.55,976.04,24.11,68.74,72.74,156.07,283.53,1.08,,0.55,2.25,,26.3,4.9,4.36,2.14,0.44,16.11,4.49,26-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
26-Aug-2018 - 00:00,30.59,975.85,26.05,63.83,72.36,209.81,245.5,1.32,,0.6,4.92,,28.14,4.63,4.25,2.19,0.44,20.95,3.96,27-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
27-Aug-2018 - 00:00,29.84,977.66,24.78,56.45,81.04,158.81,90.21,0.94,,0.58,24.68,,23.93,8.05,7.42,3.85,0.57,13.4,4.76,28-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
28-Aug-2018 - 00:00,27.74,978.85,23.54,47.09,91.17,92.74,110.62,1.31,,1.79,58.54,,25.05,5.28,5.06,2.72,0.48,13.71,3.84,29-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
29-Aug-2018 - 00:00,28.17,979.73,32.94,61.43,91.17,91.55,141.98,0.98,,0.48,65.97,,29.17,5.27,4.28,1.8,0.62,15.55,4.64,30-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
30-Aug-2018 - 00:00,30.89,977.38,32.47,76.3,81.19,210.81,248.93,0.64,,0.38,29.98,,23.86,4.74,4.72,2.7,0.73,13.96,2.38,31-Aug-2018 - 00:00,"Narela, Delhi - DPCC"
31-Aug-2018 - 00:00,30.69,977.6,53.1,143.49,78.86,147.1,223.76,1.06,,0.31,69.88,,24.64,3.94,3.13,1.26,0.52,9.9,3.93,01-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
01-Sep-2018 - 00:00,27.7,979.81,44.61,99.92,90.92,46.96,159.99,0.82,,0.29,59.58,,28.74,5.04,4.52,2.26,0.63,7.5,3.97,02-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
02-Sep-2018 - 00:00,26.97,979.49,38.56,79.69,90.76,78.23,125.83,1.25,,0.25,126.13,,33.91,3.48,2.37,0.64,0.42,9.84,4.34,03-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
03-Sep-2018 - 00:00,26.79,980.06,26.45,53.66,93.02,57.94,123.23,0.74,,0.39,108.47,,30.79,7.34,5.59,2.07,0.73,10.51,4.93,04-Sep-2018 - 00:00,"Narela, Delhi - DPCC"
