from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO2,NO,NOx,Ozone,SO2,to date,station
23-Jul-2018 - 00:00,30.42,974.83,96.78,46.24,83.9,156.0,36.46,156.55,1.0,1.01,1.42,43.7,14.43,2.26,9.53,26.82,14.95,24-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Jul-2018 - 00:00,31.64,975.36,123.04,53.01,78.03,169.32,32.88,152.01,0.99,1.02,1.38,44.06,16.04,2.04,10.2,30.97,16.56,25-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Jul-2018 - 00:00,29.25,974.62,70.17,38.33,89.28,100.67,16.16,300.46,1.26,0.85,0.84,36.64,10.0,1.78,6.76,15.62,14.58,26-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Jul-2018 - 00:00,26.8,974.78,45.99,29.71,97.54,47.21,37.14,116.89,1.07,0.84,0.76,29.97,9.14,1.86,6.38,13.52,14.29,27-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Jul-2018 - 00:00,26.33,973.98,42.0,25.78,98.35,40.98,124.09,72.92,1.76,0.81,1.62,24.67,7.72,1.66,5.47,15.47,13.62,28-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Jul-2018 - 00:00,27.65,974.52,51.3,30.47,91.88,116.58,19.67,82.27,1.28,0.83,0.77,27.78,7.64,1.59,5.35,16.96,13.89,29-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Jul-2018 - 00:00,30.63,975.14,124.93,48.17,81.94,241.71,18.45,142.3,0.95,0.89,0.88,40.05,12.13,2.76,8.72,13.43,12.79,30-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Jul-2018 - 00:00,30.76,974.7,130.5,41.8,78.23,176.17,12.44,141.53,1.01,0.83,0.66,38.53,10.12,1.8,6.85,17.0,15.13,31-Jul-2018 - 00:00,"Bawana, Delhi - DPCC"
31-Jul-2018 - 00:00,31.44,973.84,151.78,49.09,73.05,157.71,11.71,85.97,1.26,0.8,0.75,37.09,11.11,2.5,7.94,18.1,13.73,01-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Aug-2018 - 00:00,31.36,974.37,190.88,62.7,69.78,239.4,14.22,122.12,1.18,0.82,0.78,37.81,12.73,2.81,9.06,22.74,14.51,02-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Aug-2018 - 00:00,31.87,975.68,260.01,94.96,69.45,199.59,14.75,200.26,1.23,0.79,0.68,34.59,12.35,2.66,8.75,16.61,14.26,03-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Aug-2018 - 00:00,31.56,976.15,222.22,95.36,66.88,206.56,14.74,171.9,1.3,0.74,0.54,29.62,11.44,2.57,8.18,16.53,14.51,04-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Aug-2018 - 00:00,31.84,975.78,227.77,106.46,64.88,197.8,10.18,178.98,1.26,0.74,0.76,29.27,12.95,2.66,9.06,17.79,14.28,05-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Aug-2018 - 00:00,30.17,975.74,240.64,96.21,73.61,113.75,12.41,253.59,1.56,0.83,0.95,29.33,12.83,2.9,9.19,14.4,14.18,06-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Aug-2018 - 00:00,27.58,976.23,137.62,71.61,88.43,57.69,35.42,197.43,1.19,1.01,1.04,42.5,10.94,3.23,8.45,9.31,16.81,07-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Aug-2018 - 00:00,28.7,976.35,122.38,51.29,85.21,103.3,53.35,138.59,1.27,0.92,1.18,34.14,6.72,2.04,5.24,18.65,16.54,08-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Aug-2018 - 00:00,29.78,976.77,103.04,50.71,83.8,178.14,45.34,167.16,1.31,1.12,1.39,36.04,8.81,2.21,6.49,37.52,15.49,09-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Aug-2018 - 00:00,31.66,979.2,129.18,50.14,73.85,233.2,22.79,193.73,1.49,1.14,1.4,37.74,8.77,2.22,6.48,33.08,16.39,10-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Aug-2018 - 00:00,32.05,978.1,181.78,72.64,75.34,193.9,54.4,197.74,1.01,1.33,2.42,46.08,13.91,9.34,14.99,27.69,14.25,11-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Aug-2018 - 00:00,32.33,974.38,112.99,37.59,72.92,218.27,9.38,175.0,1.42,0.76,0.83,38.79,7.88,1.89,5.67,23.59,14.08,12-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Aug-2018 - 00:00,31.08,972.65,96.28,33.18,72.85,121.82,11.06,248.29,1.23,0.74,0.63,29.55,6.68,1.87,5.08,24.92,12.42,13-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Aug-2018 - 00:00,30.71,974.1,105.28,37.79,73.54,140.05,18.41,205.12,1.32,0.72,0.57,28.75,5.56,1.77,4.4,29.2,13.47,14-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Aug-2018 - 00:00,31.58,975.16,138.78,59.11,76.95,192.3,48.66,156.49,0.95,0.95,1.33,39.11,9.45,4.77,8.91,25.93,13.21,15-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Aug-2018 - 00:00,31.54,976.76,140.79,58.8,73.54,172.77,17.99,214.35,1.56,0.87,1.04,41.33,7.83,1.61,5.48,28.87,13.52,16-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Aug-2018 - 00:00,30.46,978.38,112.83,52.8,80.84,169.74,37.07,174.81,0.96,1.06,1.35,38.96,10.21,2.7,7.64,39.7,13.65,17-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Aug-2018 - 00:00,30.93,976.05,88.54,36.12,80.56,180.74,45.14,184.5,1.65,0.9,1.21,38.72,8.22,4.12,7.75,21.21,14.01,18-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Aug-2018 - 00:00,30.23,975.54,83.43,36.43,84.22,156.16,19.17,200.17,1.32,0.86,1.14,34.2,8.38,2.92,6.84,20.07,13.41,19-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Aug-2018 - 00:00,29.26,975.49,119.05,62.25,90.42,48.07,60.12,198.08,0.88,1.21,1.69,40.76,15.74,3.05,10.86,22.45,13.04,20-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Aug-2018 - 00:00,31.08,977.2,140.91,64.79,80.27,179.06,29.02,211.54,1.1,1.11,1.56,47.3,13.02,4.26,10.42,27.3,13.9,21-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Aug-2018 - 00:00,31.46,977.19,126.3,53.69,77.18,190.52,18.38,193.56,1.2,0.99,1.12,34.79,11.26,2.93,8.39,41.9,15.39,22-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Aug-2018 - 00:00,30.07,976.44,106.69,44.59,85.04,114.65,60.41,188.85,1.22,1.03,1.27,36.69,11.9,4.17,9.73,19.67,14.92,23-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
23-Aug-2018 - 00:00,28.92,976.94,71.68,32.77,90.12,101.6,16.51,178.32,1.06,0.83,0.76,34.54,8.34,3.13,6.99,17.99,13.65,24-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Aug-2018 - 00:00,30.4,976.3,81.43,27.74,80.28,163.21,7.89,93.08,1.09,0.76,0.39,28.33,6.47,2.36,5.37,15.21,13.14,25-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Aug-2018 - 00:00,30.41,975.68,73.16,25.49,76.4,157.55,10.05,95.36,1.33,0.73,0.48,24.8,6.01,1.94,4.78,20.58,13.57,26-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Aug-2018 - 00:00,30.43,975.42,76.1,35.45,75.04,205.45,10.34,70.44,1.43,0.71,0.54,24.29,4.68,1.79,3.94,22.13,14.16,27-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Aug-2018 - 00:00,29.87,977.07,65.02,33.89,82.91,131.63,56.54,166.64,1.04,0.88,1.26,25.23,5.9,1.96,4.73,18.9,14.34,28-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Aug-2018 - 00:00,27.47,978.2,45.18,30.2,94.48,75.8,52.35,150.74,1.43,0.93,1.13,25.9,8.14,1.89,5.88,23.3,13.22,29-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Aug-2018 - 00:00,28.3,979.15,46.2,33.42,91.75,105.17,26.31,187.3,1.05,0.98,1.06,25.74,10.41,2.54,7.61,22.64,12.9,30-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Aug-2018 - 00:00,31.98,976.39,102.12,43.04,78.53,213.21,28.25,142.01,0.79,1.26,0.82,33.39,15.45,6.01,13.12,27.79,6.67,31-Aug-2018 - 00:00,"Bawana, Delhi - DPCC"
31-Aug-2018 - 00:00,30.9,977.15,175.74,48.61,80.65,157.8,34.44,139.01,1.14,0.95,0.98,30.94,11.21,3.54,8.85,21.19,6.89,01-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Sep-2018 - 00:00,27.95,979.29,120.78,54.09,93.6,51.05,43.94,202.76,0.89,1.09,1.42,34.98,13.09,3.3,9.66,16.68,7.92,02-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Sep-2018 - 00:00,26.76,979.12,84.9,47.27,95.07,62.35,78.69,117.27,1.27,0.91,1.25,33.14,8.75,1.82,6.14,17.98,7.2,03-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Sep-2018 - 00:00,26.56,979.28,67.92,44.08,95.82,67.59,39.57,161.88,0.68,1.08,1.41,25.94,10.53,3.39,8.37,16.27,9.43,04-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Sep-2018 - 00:00,27.72,979.75,97.81,58.54,91.04,120.46,51.86,190.73,0.79,1.2,1.9,28.08,12.83,6.37,12.02,25.72,8.64,05-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Sep-2018 - 00:00,27.76,979.07,100.92,50.79,90.05,108.64,18.09,155.56,0.88,0.99,0.85,24.81,8.16,2.78,6.61,23.14,8.21,06-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Sep-2018 - 00:00,29.17,978.58,119.0,42.38,83.84,232.12,19.98,98.34,1.11,0.88,0.76,26.34,7.08,4.29,7.26,25.87,8.51,07-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Sep-2018 - 00:00,27.96,980.4,77.38,41.38,87.02,169.87,72.35,186.78,0.88,0.96,1.39,25.71,11.25,2.34,7.89,39.46,7.99,08-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Sep-2018 - 00:00,28.12,980.67,65.7,32.12,87.06,139.81,25.37,172.03,1.56,0.84,0.85,26.39,6.96,2.78,5.97,19.33,8.27,09-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Sep-2018 - 00:00,28.14,982.13,51.5,30.46,84.13,169.74,12.2,208.06,1.89,0.81,0.73,22.75,7.27,1.55,5.14,31.62,8.36,10-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Sep-2018 - 00:00,28.66,983.53,97.36,38.83,83.14,145.14,21.64,229.77,1.03,0.96,1.07,25.13,12.14,2.52,8.51,47.9,8.35,11-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Sep-2018 - 00:00,30.13,982.84,57.73,27.04,81.43,204.08,9.14,163.97,1.03,0.77,0.49,22.49,6.51,1.9,5.02,24.04,7.83,12-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Sep-2018 - 00:00,30.06,980.15,92.38,31.17,79.09,199.41,7.36,112.72,1.33,0.72,0.43,20.83,6.14,1.8,4.74,22.75,8.53,13-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Sep-2018 - 00:00,29.54,980.03,98.5,27.5,74.36,206.17,9.09,155.41,1.24,0.69,0.46,20.01,6.7,2.06,5.24,23.03,7.85,14-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Sep-2018 - 00:00,29.06,982.45,129.06,35.42,75.9,203.68,12.46,116.26,1.07,0.82,0.61,20.01,8.95,5.81,9.5,24.17,8.07,15-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Sep-2018 - 00:00,29.37,984.2,115.51,41.04,71.6,204.67,10.25,55.32,1.13,0.78,0.55,22.21,8.97,5.41,9.19,23.95,8.74,16-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Sep-2018 - 00:00,29.58,982.87,133.43,59.89,74.01,198.92,31.17,57.69,1.22,0.78,0.81,25.53,7.85,3.41,6.95,26.94,7.52,17-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Sep-2018 - 00:00,29.31,981.84,166.81,64.3,77.03,186.16,21.82,63.46,1.17,0.91,1.01,28.44,9.43,2.58,7.12,37.95,7.79,18-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Sep-2018 - 00:00,29.32,981.86,176.84,57.32,73.62,189.1,67.69,49.35,1.37,0.87,1.16,28.29,8.68,1.43,5.78,44.87,9.36,19-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Sep-2018 - 00:00,29.04,981.72,183.73,69.67,73.51,191.0,70.76,124.74,1.21,1.0,1.66,31.14,12.35,3.29,9.25,45.84,11.46,20-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Sep-2018 - 00:00,29.88,982.04,222.66,112.96,70.3,176.28,67.18,137.97,0.91,1.14,2.12,35.45,13.56,3.7,10.24,60.05,12.09,21-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Sep-2018 - 00:00,28.66,984.51,129.95,62.25,73.26,151.26,17.61,200.81,1.8,0.91,1.26,29.42,11.34,2.31,7.91,41.82,10.48,22-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Sep-2018 - 00:00,25.19,984.78,39.75,25.83,91.89,46.95,16.71,162.07,2.04,0.78,0.73,25.02,6.41,1.65,4.76,21.43,8.64,23-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
23-Sep-2018 - 00:00,26.43,984.33,52.42,27.25,91.05,71.81,9.21,191.0,2.64,0.8,0.59,23.88,4.56,1.19,3.4,29.53,10.11,24-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Sep-2018 - 00:00,24.99,982.34,30.52,19.58,94.78,48.16,31.16,175.76,1.8,0.82,0.75,19.71,8.01,2.46,6.28,17.18,9.05,25-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Sep-2018 - 00:00,23.87,983.99,40.88,23.29,94.89,65.64,14.42,28.23,1.13,0.83,0.67,17.43,4.74,2.62,4.66,27.39,8.42,26-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Sep-2018 - 00:00,26.56,983.72,122.47,45.7,85.36,179.36,176.42,90.46,0.93,1.09,,20.35,6.19,6.47,8.57,32.65,8.55,27-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Sep-2018 - 00:00,27.5,984.51,195.39,80.55,83.11,178.92,203.28,130.22,0.73,1.32,,26.53,7.26,10.37,12.33,38.61,7.39,28-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Sep-2018 - 00:00,28.4,985.21,286.08,98.52,75.59,175.95,264.71,168.56,0.61,1.61,,32.76,11.97,18.57,21.51,42.72,8.21,29-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Sep-2018 - 00:00,28.45,985.93,274.07,101.4,76.24,172.14,247.44,137.39,0.92,1.45,,43.25,12.24,21.0,23.64,54.88,9.03,30-Sep-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Sep-2018 - 00:00,27.57,985.38,141.23,64.45,76.83,175.94,134.97,59.25,1.05,1.01,,32.15,7.44,2.5,5.99,41.28,6.76,01-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Oct-2018 - 00:00,27.8,985.11,186.6,78.15,75.13,175.4,265.61,78.12,0.91,1.09,,34.23,8.63,3.56,7.49,51.36,6.26,02-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Oct-2018 - 00:00,28.32,985.73,197.59,89.93,73.14,171.38,221.51,137.98,0.97,1.11,,36.3,7.91,3.81,7.31,42.71,8.21,03-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Oct-2018 - 00:00,28.56,985.15,212.5,81.48,64.73,170.89,261.21,124.25,0.84,1.04,,31.94,8.78,5.58,9.22,47.9,8.5,04-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Oct-2018 - 00:00,28.45,986.58,292.42,106.45,68.43,152.72,223.77,164.18,0.96,1.36,,37.24,11.26,5.51,10.18,37.32,7.78,05-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Oct-2018 - 00:00,27.35,987.61,299.66,127.24,70.44,159.9,209.56,109.62,0.96,1.41,,43.84,13.49,13.28,17.59,50.78,11.67,06-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Oct-2018 - 00:00,26.65,987.35,202.57,91.59,69.32,168.01,200.99,97.04,1.07,1.12,,37.42,9.65,7.4,11.32,35.64,8.33,07-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Oct-2018 - 00:00,26.5,986.81,268.58,111.15,65.36,161.13,208.88,85.43,0.98,1.16,,38.32,10.73,7.67,12.02,56.67,10.14,08-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Oct-2018 - 00:00,27.69,985.16,320.41,131.8,60.8,152.62,195.96,172.82,0.83,1.21,,40.38,12.34,3.56,9.47,53.23,11.5,09-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Oct-2018 - 00:00,28.14,984.08,354.91,128.01,60.5,150.68,136.07,199.8,1.18,1.31,,41.16,14.78,2.34,9.8,41.8,12.54,10-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Oct-2018 - 00:00,27.77,984.71,336.62,129.5,69.55,137.22,120.3,202.89,1.39,1.45,,46.83,14.05,4.03,10.77,60.59,9.77,11-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Oct-2018 - 00:00,25.44,986.63,303.24,101.57,67.36,132.85,131.67,201.35,1.54,1.19,,39.96,10.77,6.5,11.03,40.01,9.63,12-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Oct-2018 - 00:00,24.35,988.77,217.21,92.46,59.21,148.78,261.29,133.89,1.07,0.85,,27.8,10.0,5.29,9.63,50.6,10.11,13-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Oct-2018 - 00:00,23.63,988.95,265.5,115.67,66.97,147.51,181.42,73.75,1.02,1.14,,38.57,10.05,4.84,9.29,46.41,10.7,14-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Oct-2018 - 00:00,23.92,988.03,235.38,97.25,64.04,151.07,104.7,53.89,1.05,1.12,,33.19,10.77,5.82,10.48,46.27,8.49,15-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Oct-2018 - 00:00,25.21,988.37,350.33,130.46,59.54,141.92,243.66,159.6,1.0,1.34,,34.4,12.52,6.62,12.06,65.41,11.31,16-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Oct-2018 - 00:00,26.08,987.84,481.43,157.92,61.75,119.29,148.01,222.87,0.9,1.75,,45.46,15.38,9.04,15.56,63.2,12.04,17-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Oct-2018 - 00:00,26.23,986.46,435.95,190.54,57.8,139.97,304.66,162.17,0.82,1.75,,43.97,5.54,9.03,10.31,61.07,9.93,18-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Oct-2018 - 00:00,25.81,985.87,509.46,195.08,61.7,125.94,164.0,194.8,0.95,1.88,,52.27,4.59,12.71,12.81,36.83,10.23,19-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Oct-2018 - 00:00,25.41,987.62,350.29,163.29,60.78,113.66,145.84,129.03,1.18,1.35,,47.12,3.0,5.39,5.99,68.8,11.2,20-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Oct-2018 - 00:00,25.65,990.03,408.17,226.96,50.56,128.99,146.73,87.83,1.15,1.38,,44.1,10.79,2.41,7.7,80.66,16.44,21-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Oct-2018 - 00:00,23.19,990.73,328.46,181.29,58.19,95.87,176.28,77.1,1.06,1.29,,46.99,44.67,8.28,30.51,55.36,15.68,22-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
22-Oct-2018 - 00:00,22.74,989.49,327.72,163.82,61.48,141.29,125.0,119.07,1.05,1.4,,41.8,40.41,21.27,38.82,57.86,14.37,23-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
23-Oct-2018 - 00:00,23.33,989.21,423.17,152.24,58.02,137.92,304.99,179.3,0.8,1.62,,42.01,51.33,19.88,43.51,62.46,15.95,24-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
24-Oct-2018 - 00:00,23.76,989.19,561.5,183.22,58.68,119.56,265.72,176.24,0.74,2.05,,54.46,73.14,44.13,74.92,35.19,16.86,25-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
25-Oct-2018 - 00:00,23.02,990.52,470.61,162.02,61.78,124.33,158.36,181.2,0.83,1.79,,53.69,61.75,26.63,54.59,59.72,18.66,26-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
26-Oct-2018 - 00:00,22.58,992.46,453.69,231.03,62.97,106.2,174.5,126.1,0.72,2.02,,48.18,64.5,28.89,57.89,52.62,14.91,27-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
27-Oct-2018 - 00:00,22.42,992.69,513.32,280.9,68.92,111.56,198.95,94.39,0.67,2.37,,48.99,62.41,40.69,66.43,62.51,17.52,28-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
28-Oct-2018 - 00:00,22.72,992.25,491.2,267.17,70.19,126.18,255.96,87.86,0.89,2.12,,52.62,47.53,26.15,46.6,54.03,10.8,29-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
29-Oct-2018 - 00:00,22.66,991.45,541.8,248.88,72.78,109.92,112.78,103.88,0.74,2.32,,57.51,54.04,24.3,48.53,49.99,12.76,30-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
30-Oct-2018 - 00:00,22.76,991.38,569.09,313.96,70.58,106.4,268.1,181.64,0.6,2.26,,55.19,58.17,26.69,52.7,50.58,11.21,31-Oct-2018 - 00:00,"Bawana, Delhi - DPCC"
31-Oct-2018 - 00:00,22.75,991.8,608.83,303.83,73.31,94.64,255.09,169.62,0.7,2.49,,56.3,69.98,37.25,67.58,52.33,11.77,01-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
01-Nov-2018 - 00:00,22.82,990.65,513.35,215.05,72.44,92.74,186.3,190.73,0.76,2.35,,54.25,76.34,26.45,61.39,44.01,11.63,02-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
02-Nov-2018 - 00:00,23.33,989.23,471.67,251.54,67.46,90.29,133.88,184.21,1.13,2.19,,47.74,74.37,15.92,52.51,44.84,13.22,03-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
03-Nov-2018 - 00:00,23.22,988.17,339.16,192.33,68.35,81.7,108.33,170.33,1.79,1.45,,50.78,42.91,6.0,27.72,52.29,11.26,04-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
04-Nov-2018 - 00:00,22.03,990.01,197.96,134.79,66.94,116.37,,131.17,1.36,1.08,,35.71,31.75,1.64,18.43,70.79,9.2,05-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
05-Nov-2018 - 00:00,18.87,990.32,494.96,403.79,78.15,93.05,102.3,108.22,1.07,1.89,,40.56,42.16,4.43,26.04,36.22,8.27,06-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
06-Nov-2018 - 00:00,19.45,990.61,338.7,230.8,55.55,136.42,,27.69,1.25,1.44,,30.84,36.75,3.65,22.52,50.45,12.66,07-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
07-Nov-2018 - 00:00,18.55,991.04,356.2,243.57,51.33,129.71,,135.27,0.94,1.5,,32.52,39.45,4.04,24.28,65.38,21.68,08-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
08-Nov-2018 - 00:00,17.56,991.18,599.0,321.09,65.29,87.51,109.28,156.07,0.47,3.79,,39.11,56.22,11.71,39.49,32.27,18.11,09-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
09-Nov-2018 - 00:00,19.01,989.51,436.92,325.79,71.14,111.39,233.58,115.01,0.48,2.86,,44.7,56.71,18.36,45.13,42.88,13.56,10-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
10-Nov-2018 - 00:00,19.34,990.29,508.96,332.81,75.24,83.54,155.19,204.24,0.61,2.83,,46.86,72.55,14.93,50.78,43.3,18.05,11-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
11-Nov-2018 - 00:00,21.09,990.61,468.8,168.88,67.29,114.31,104.6,196.28,0.7,2.15,,41.61,61.96,4.84,36.89,68.4,19.12,12-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
12-Nov-2018 - 00:00,21.3,988.67,555.31,219.34,70.52,99.26,309.87,184.54,0.84,2.47,,66.44,69.4,6.94,42.54,35.96,18.94,13-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
13-Nov-2018 - 00:00,21.64,986.47,566.65,272.79,71.83,68.19,202.73,189.12,0.98,2.63,,78.82,80.03,37.96,73.49,37.03,20.73,14-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
14-Nov-2018 - 00:00,21.96,987.22,244.74,76.68,74.06,96.21,162.9,208.74,1.03,1.63,,62.77,64.16,13.39,44.66,37.05,19.85,15-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
15-Nov-2018 - 00:00,20.41,990.79,208.89,59.61,76.57,102.75,147.08,105.35,1.12,1.34,,56.42,44.26,14.1,35.02,28.85,19.83,16-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
16-Nov-2018 - 00:00,18.58,989.9,255.16,58.73,68.13,135.75,,39.7,1.23,1.0,,41.54,33.86,2.06,19.69,42.49,18.47,17-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
17-Nov-2018 - 00:00,18.55,988.24,308.35,61.67,67.62,126.42,156.25,188.53,0.96,1.71,,45.29,49.88,14.47,38.28,18.56,19.19,18-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
18-Nov-2018 - 00:00,19.72,989.22,441.42,112.84,66.25,110.55,,219.67,0.94,3.65,,60.02,73.25,17.05,52.86,47.89,19.7,19-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
19-Nov-2018 - 00:00,21.09,991.51,436.78,173.2,63.4,76.09,,198.31,1.5,1.76,,64.86,62.58,2.89,35.66,45.31,20.24,20-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
20-Nov-2018 - 00:00,20.48,991.95,438.77,303.57,72.39,104.34,122.18,120.41,0.78,2.09,,70.44,63.32,16.75,47.34,39.76,19.02,21-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
21-Nov-2018 - 00:00,19.66,992.13,394.77,276.11,64.49,120.25,100.2,117.53,0.97,1.91,,56.69,49.5,11.14,35.44,30.93,20.06,22-Nov-2018 - 00:00,"Bawana, Delhi - DPCC"
