from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,O Xylene,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
20-Jan-2018 - 00:00,29.33,0.0,0.0,67.93,9.89,,252.44,377.88,0.0,59.5,159.89,18.45,-0.07,270.44,1.95,2.13,33.79,92.56,59.04,151.6,27.2,7.89,21-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Jan-2018 - 00:00,36.31,0.0,0.0,82.07,13.15,,261.26,384.09,0.0,59.0,155.75,19.12,-0.09,256.69,1.91,2.24,39.1,100.57,58.49,159.06,6.13,6.68,22-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Jan-2018 - 00:00,16.53,0.0,0.0,43.98,6.34,,177.74,264.59,0.0,55.88,166.71,18.29,-0.11,212.28,2.06,1.51,18.72,39.5,48.41,87.91,,6.49,23-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Jan-2018 - 00:00,24.23,4.34,6.7,41.83,11.08,,194.46,328.83,0.0,50.78,156.79,19.45,-0.04,193.75,1.61,1.95,23.18,53.99,54.14,108.13,,13.25,24-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Jan-2018 - 00:00,14.69,8.95,13.23,37.75,6.03,,154.31,258.47,0.0,61.78,157.28,21.32,-0.06,220.5,2.16,1.28,21.99,30.76,42.13,72.89,,14.6,25-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Jan-2018 - 00:00,15.55,6.83,10.27,23.63,6.27,,117.39,198.97,0.0,51.74,153.07,21.17,-0.11,226.42,2.25,1.07,14.82,15.63,41.22,56.84,,13.62,26-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Jan-2018 - 00:00,19.27,8.16,14.85,47.73,6.59,,154.26,252.12,0.0,53.22,150.56,20.22,-0.06,220.64,1.87,1.41,21.7,43.7,48.98,92.67,,9.16,27-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Jan-2018 - 00:00,13.12,5.4,9.62,36.31,4.25,,134.48,221.36,0.0,47.22,150.8,19.61,-0.09,138.41,2.07,1.08,17.22,15.46,45.27,60.73,,8.63,28-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Jan-2018 - 00:00,19.76,12.89,17.26,46.64,7.6,,153.32,249.54,0.0,50.94,159.1,19.24,-0.06,242.67,1.92,1.35,21.68,57.64,53.39,111.03,,7.47,29-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Jan-2018 - 00:00,14.68,10.55,14.97,42.15,7.44,,133.22,251.95,0.0,53.12,161.53,19.86,-0.06,249.42,1.91,1.17,19.96,24.77,39.27,64.03,,6.91,30-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Jan-2018 - 00:00,17.21,9.61,15.36,50.08,7.02,,151.45,240.69,0.0,56.96,237.21,19.68,-0.09,266.25,2.23,1.24,26.33,35.66,39.02,74.68,,9.17,31-Jan-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
31-Jan-2018 - 00:00,14.6,6.74,11.07,39.42,4.78,,152.79,312.66,0.0,52.71,24.23,21.06,-0.04,160.78,1.26,1.63,17.15,10.69,47.05,56.31,,8.14,01-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Feb-2018 - 00:00,17.24,8.96,14.43,54.63,6.54,,200.24,326.96,0.0,59.82,143.75,20.62,-0.1,259.67,2.2,1.53,26.17,30.23,40.74,71.65,,4.56,02-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Feb-2018 - 00:00,23.79,18.28,24.81,50.27,13.4,,205.49,338.48,0.0,61.06,146.59,21.24,-0.08,243.77,1.94,1.88,27.79,44.11,41.55,87.36,,4.54,03-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Feb-2018 - 00:00,28.5,23.43,27.98,62.51,14.29,,192.53,317.23,0.0,55.04,159.53,23.24,-0.03,210.42,1.9,1.67,34.24,61.59,50.06,111.65,,11.73,04-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Feb-2018 - 00:00,7.21,7.09,9.51,41.48,7.19,,76.52,135.0,0.0,61.91,172.21,24.46,-0.03,231.09,2.54,0.58,25.52,4.57,27.24,31.81,,10.3,05-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Feb-2018 - 00:00,9.9,8.18,10.51,39.08,8.8,,91.26,178.47,0.0,71.12,147.56,24.41,-0.03,188.06,1.85,0.75,23.87,7.74,29.85,37.59,,6.19,06-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Feb-2018 - 00:00,13.32,6.35,9.34,42.07,5.48,,136.89,232.41,0.0,55.51,163.44,24.38,-0.08,207.91,2.03,1.07,27.33,10.54,31.49,42.03,,7.29,07-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Feb-2018 - 00:00,13.8,9.59,12.98,41.16,10.07,,116.13,210.52,0.0,47.4,176.39,25.25,-0.05,211.94,1.77,1.05,27.88,6.53,28.89,35.41,,9.44,08-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Feb-2018 - 00:00,10.6,6.41,8.61,38.22,4.89,,95.38,204.58,0.0,39.08,125.41,24.89,-0.06,219.76,1.93,0.9,36.11,9.39,27.58,36.97,,7.47,09-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Feb-2018 - 00:00,12.72,11.22,11.29,32.57,5.62,,121.48,199.3,0.0,62.06,151.46,24.72,-0.05,220.73,1.73,0.96,31.0,7.89,26.89,34.78,,17.68,10-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Feb-2018 - 00:00,11.46,5.39,7.99,13.64,3.63,,103.24,176.47,0.0,46.94,153.48,24.74,-0.09,167.14,2.04,0.93,19.99,4.23,32.46,36.69,,26.77,11-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Feb-2018 - 00:00,14.71,6.33,11.01,16.69,4.5,,117.85,334.28,0.0,36.22,142.98,24.02,-0.07,132.68,1.93,1.03,,,,,,24.89,12-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Feb-2018 - 00:00,13.56,6.85,10.52,14.25,6.18,,117.95,291.53,0.0,44.0,172.14,23.85,-0.13,131.51,2.22,1.01,13.3,3.33,34.84,38.16,,23.75,13-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Feb-2018 - 00:00,11.97,5.5,7.01,12.1,3.0,,130.78,221.76,0.0,46.05,145.29,23.61,-0.1,155.9,2.12,1.03,15.27,10.43,36.3,46.72,,31.06,14-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Feb-2018 - 00:00,13.03,16.63,14.58,20.25,6.08,,100.3,190.15,0.0,50.91,177.05,24.25,-0.09,238.7,2.14,1.02,17.79,14.71,25.77,40.48,,20.11,15-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Feb-2018 - 00:00,13.24,7.01,9.57,21.31,4.44,,109.31,196.32,0.0,47.12,180.33,23.43,-0.11,232.29,2.16,0.94,13.84,12.58,30.58,43.16,,20.88,16-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Feb-2018 - 00:00,15.06,9.41,12.18,22.28,6.23,,113.41,207.69,0.0,48.15,177.71,22.54,-0.09,223.65,2.01,1.04,16.38,26.59,33.83,60.42,,20.3,17-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Feb-2018 - 00:00,18.69,18.72,17.27,22.2,7.04,,143.65,255.57,0.0,53.27,178.44,23.35,-0.08,249.58,2.08,1.25,22.25,29.4,34.82,64.22,,14.58,18-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Feb-2018 - 00:00,12.23,10.24,10.18,15.43,4.47,,126.77,243.99,0.0,49.28,172.53,24.97,-0.05,247.11,1.99,0.9,17.62,7.46,24.78,32.24,,20.1,19-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Feb-2018 - 00:00,6.82,3.07,4.14,7.46,1.94,,85.82,160.58,0.0,61.46,174.56,25.09,-0.02,215.92,2.43,0.67,11.33,3.9,13.96,17.85,59.06,18.26,20-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Feb-2018 - 00:00,6.73,3.89,4.91,6.62,2.81,,79.96,159.99,0.0,59.75,167.87,25.96,-0.03,202.69,2.22,0.59,10.13,6.7,20.69,27.37,45.3,30.63,21-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Feb-2018 - 00:00,9.41,4.86,5.71,7.33,2.51,,99.11,181.61,0.0,63.08,175.76,26.25,-0.04,235.57,1.84,0.63,8.73,4.77,17.64,22.41,57.78,22.31,22-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Feb-2018 - 00:00,11.13,9.24,9.58,17.1,5.14,,118.85,242.31,0.0,57.09,164.02,26.61,-0.06,256.09,2.06,0.89,13.37,8.85,24.35,33.19,54.24,13.67,23-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Feb-2018 - 00:00,13.9,23.05,17.73,43.94,8.5,,108.7,196.27,0.0,55.65,184.04,27.69,-0.02,209.38,2.45,0.91,42.29,20.99,22.38,43.36,68.24,1.95,24-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Feb-2018 - 00:00,6.56,11.86,10.04,44.16,6.19,,90.78,173.43,0.0,50.6,174.57,28.66,-0.02,220.12,2.43,0.66,33.77,5.46,22.43,27.89,62.44,1.92,25-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Feb-2018 - 00:00,6.77,11.22,9.8,45.74,6.25,,78.89,160.69,0.0,45.17,167.95,29.17,-0.03,224.84,2.4,0.66,30.94,6.51,22.76,29.27,64.64,2.4,26-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Feb-2018 - 00:00,7.23,10.8,9.19,43.83,5.91,,74.74,162.88,0.0,43.82,175.44,28.84,-0.08,193.88,2.51,0.62,27.2,3.47,22.59,26.05,65.75,1.57,27-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Feb-2018 - 00:00,10.21,12.43,10.82,41.48,7.11,,94.64,176.06,0.0,61.34,182.03,28.19,-0.06,210.14,1.78,0.71,23.25,6.52,20.07,26.58,57.35,1.46,28-Feb-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Feb-2018 - 00:00,12.76,13.12,12.98,47.91,7.48,,120.53,198.56,0.0,61.24,170.14,28.34,-0.05,237.7,2.02,0.82,21.72,6.51,18.23,24.73,52.78,1.44,01-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Mar-2018 - 00:00,11.46,12.44,11.71,48.15,7.2,,123.93,201.6,0.0,60.38,175.36,27.9,-0.07,253.99,2.1,0.92,22.41,4.64,17.74,22.37,59.72,1.32,02-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Mar-2018 - 00:00,9.76,10.68,10.15,38.86,6.77,,101.17,161.86,0.0,59.23,190.64,28.64,-0.02,236.4,2.57,0.78,19.83,3.53,16.24,19.77,61.05,1.45,03-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Mar-2018 - 00:00,5.4,10.22,8.48,43.33,5.77,999.52,67.39,129.5,0.0,60.99,185.95,29.83,-0.03,243.27,2.29,0.61,17.39,3.36,14.0,17.35,53.65,1.43,04-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Mar-2018 - 00:00,7.84,11.7,9.95,46.72,6.5,,76.93,156.26,0.0,57.1,186.61,30.87,-0.06,188.03,2.06,0.67,15.4,5.41,15.82,21.22,71.05,1.21,05-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Mar-2018 - 00:00,5.49,10.45,8.51,40.66,5.66,,69.68,141.25,0.0,53.2,169.41,29.53,-0.12,168.73,2.42,0.49,11.75,2.53,15.39,17.91,54.08,1.03,06-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Mar-2018 - 00:00,6.84,9.37,8.36,39.53,5.45,,71.86,137.68,0.0,35.41,176.35,29.94,-0.1,278.32,2.38,0.6,18.82,2.24,19.35,21.58,76.83,1.32,07-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Mar-2018 - 00:00,8.12,9.37,8.84,43.26,5.59,,70.69,141.73,0.0,27.37,192.04,28.86,-0.1,200.78,2.12,0.72,23.55,3.94,21.4,25.34,69.59,1.65,08-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Mar-2018 - 00:00,16.38,12.24,13.03,51.07,7.08,,116.41,221.78,0.0,35.36,189.19,27.66,-0.08,186.89,2.01,1.16,32.43,29.22,25.92,55.14,99.31,2.12,09-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Mar-2018 - 00:00,16.0,15.6,14.66,50.34,8.31,,116.04,238.31,0.0,37.73,178.86,28.33,-0.08,244.98,1.83,1.18,29.33,14.38,26.01,40.37,91.0,2.32,10-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Mar-2018 - 00:00,11.88,15.68,12.37,45.92,6.8,,102.19,193.11,0.0,41.39,193.99,28.23,-0.1,218.31,2.12,0.91,25.9,7.32,23.45,30.76,73.37,1.46,11-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Mar-2018 - 00:00,14.72,16.56,14.69,49.55,7.83,,95.75,179.5,0.0,38.7,189.17,29.1,-0.05,235.12,2.05,0.89,25.39,12.82,22.66,35.45,82.67,1.7,12-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Mar-2018 - 00:00,6.02,8.96,7.71,36.74,4.88,,61.41,116.56,0.0,61.35,173.64,29.53,-0.04,223.0,2.53,0.57,16.44,2.17,16.38,18.54,58.64,1.37,13-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Mar-2018 - 00:00,9.51,16.58,12.12,45.67,6.8,,69.59,148.17,0.0,51.69,194.37,30.17,-0.06,199.23,1.78,0.75,14.29,9.06,17.9,26.95,61.6,1.49,14-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Mar-2018 - 00:00,14.97,19.7,15.08,44.08,8.35,,99.63,185.42,0.0,46.34,195.08,30.6,-0.04,231.29,2.02,0.83,19.8,8.62,21.26,29.87,65.06,1.67,15-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Mar-2018 - 00:00,7.38,12.53,9.26,38.19,5.47,,66.24,129.31,0.0,67.99,148.82,30.06,-0.03,206.81,2.15,0.6,16.79,2.41,14.93,17.34,56.79,1.6,16-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Mar-2018 - 00:00,6.24,11.34,8.97,41.53,5.64,,65.31,105.55,0.0,61.25,99.81,28.48,-0.04,248.75,2.38,0.6,10.66,3.34,13.64,16.98,59.32,1.03,17-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Mar-2018 - 00:00,5.46,9.21,7.58,38.18,5.31,,62.07,116.3,0.0,43.21,201.84,29.45,-0.08,260.76,2.6,0.52,16.53,1.68,14.7,16.35,82.77,1.27,18-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Mar-2018 - 00:00,7.76,11.75,9.87,44.99,6.13,,83.48,171.56,0.0,49.06,188.95,30.07,-0.06,170.15,2.0,0.69,21.3,5.76,17.03,22.77,74.47,1.39,19-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Mar-2018 - 00:00,10.21,11.08,9.66,39.36,5.7,,100.12,182.13,0.0,40.31,197.58,29.98,-0.09,228.92,2.13,0.81,21.58,5.14,18.58,23.71,74.91,1.68,20-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Mar-2018 - 00:00,11.9,12.54,11.49,48.48,6.67,,105.59,191.99,0.0,53.83,195.24,29.36,-0.04,233.51,2.09,0.89,30.56,5.45,17.84,23.28,65.69,1.48,21-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
21-Mar-2018 - 00:00,6.54,10.98,9.26,39.62,6.19,,78.42,153.04,0.0,52.68,198.02,30.59,-0.04,244.37,2.09,0.65,20.96,3.02,14.53,17.54,65.81,1.49,22-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
22-Mar-2018 - 00:00,5.09,10.31,8.27,40.11,5.26,999.71,65.28,116.34,0.0,60.85,184.01,30.53,-0.03,206.58,2.72,0.51,19.26,2.36,12.23,14.57,53.65,1.15,23-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
23-Mar-2018 - 00:00,3.9,8.89,7.21,39.1,4.93,,62.25,106.85,0.0,68.67,171.72,30.25,-0.04,207.5,2.7,0.46,13.19,2.03,9.98,12.0,35.82,0.88,24-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
24-Mar-2018 - 00:00,4.37,9.53,7.47,39.53,4.99,,58.58,108.4,0.0,66.67,182.43,31.12,-0.04,188.12,2.39,0.46,9.65,2.59,10.25,12.88,40.9,0.94,25-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
25-Mar-2018 - 00:00,4.74,9.13,7.43,40.37,5.01,,55.84,109.39,0.02,67.96,177.12,30.31,-0.05,225.63,2.26,0.51,8.43,2.06,9.41,11.33,39.97,0.87,26-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
26-Mar-2018 - 00:00,5.04,9.59,7.75,41.01,5.23,,64.92,117.19,0.0,70.95,169.45,29.99,-0.04,231.5,2.36,0.54,8.4,2.36,10.08,12.43,36.24,1.18,27-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
27-Mar-2018 - 00:00,7.27,9.68,8.16,35.26,6.1,,66.06,137.33,0.0,59.81,187.23,30.99,-0.06,239.76,2.37,0.55,8.39,3.37,10.69,14.05,51.51,1.0,28-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
28-Mar-2018 - 00:00,5.77,8.71,7.33,34.18,5.12,,64.52,119.96,0.0,66.3,205.08,30.92,-0.02,212.11,2.9,0.44,8.59,1.95,10.03,11.98,45.65,1.19,29-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
29-Mar-2018 - 00:00,4.06,7.89,6.66,29.73,4.89,,43.73,92.12,0.0,69.48,206.31,30.39,-0.03,205.65,3.0,0.41,10.75,2.42,9.42,11.82,32.02,1.07,30-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
30-Mar-2018 - 00:00,2.84,6.84,5.41,29.24,3.7,,33.23,78.82,0.0,66.59,185.61,30.9,-0.05,200.63,2.91,0.41,9.04,1.46,7.99,9.43,35.79,0.91,31-Mar-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
31-Mar-2018 - 00:00,5.64,8.16,6.8,32.64,4.82,,32.89,88.88,0.0,64.51,148.3,29.05,-0.11,167.41,2.84,0.51,8.58,1.49,9.86,11.3,39.8,0.63,01-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
01-Apr-2018 - 00:00,6.07,8.68,7.31,41.49,4.82,,47.23,93.82,0.11,57.13,160.74,27.73,-0.13,188.92,2.65,0.56,9.77,3.02,13.2,16.16,63.49,0.85,02-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
02-Apr-2018 - 00:00,7.76,8.43,7.78,34.29,5.37,,40.43,78.58,0.0,55.45,152.04,26.57,-0.07,178.08,2.14,0.54,10.13,1.9,17.18,19.02,52.73,0.85,03-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
03-Apr-2018 - 00:00,7.04,6.66,6.43,29.8,3.9,,80.05,107.71,0.0,57.98,221.92,28.94,-0.04,209.67,2.09,0.5,13.26,3.92,15.69,19.56,60.89,3.13,04-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
04-Apr-2018 - 00:00,4.78,6.76,6.21,27.0,4.21,,55.38,86.16,0.0,63.99,221.41,29.71,-0.03,221.89,2.43,0.44,16.13,2.26,12.68,14.91,42.69,3.38,05-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
05-Apr-2018 - 00:00,3.1,6.03,5.24,26.62,3.38,999.12,34.79,70.69,0.0,59.46,233.54,30.45,-0.04,192.51,2.84,0.45,13.01,2.25,12.61,14.79,55.43,3.05,06-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
06-Apr-2018 - 00:00,4.06,6.99,6.16,26.62,4.47,,52.44,84.1,0.0,64.02,199.63,30.32,-0.03,197.61,2.6,0.53,15.89,2.2,11.94,14.1,37.61,2.94,07-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
07-Apr-2018 - 00:00,3.25,7.51,5.74,32.08,3.79,,37.73,84.73,0.02,67.74,166.64,29.48,-0.11,179.48,2.73,0.49,11.99,1.96,9.63,11.56,39.22,1.33,08-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
08-Apr-2018 - 00:00,4.67,7.56,6.25,36.11,4.15,,43.74,66.13,0.02,59.15,230.28,28.16,-0.06,184.09,2.38,0.38,10.51,1.79,12.3,14.05,79.02,1.98,09-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
09-Apr-2018 - 00:00,3.64,6.82,5.8,32.13,3.89,,46.24,73.34,0.42,63.6,212.77,29.54,-0.05,214.19,2.49,0.34,8.4,1.23,12.53,13.71,59.91,3.34,10-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
10-Apr-2018 - 00:00,4.6,8.09,6.21,31.52,3.8,,38.74,68.27,0.0,68.41,141.06,27.77,-0.04,213.36,2.48,0.37,6.95,1.89,12.76,14.62,35.05,4.38,11-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
11-Apr-2018 - 00:00,3.01,6.39,5.56,29.38,3.62,,58.2,75.59,0.0,80.68,30.42,26.9,-0.03,241.44,2.01,0.43,5.95,3.2,10.35,13.55,5.57,1.92,12-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
12-Apr-2018 - 00:00,3.4,6.04,4.93,30.45,3.33,,39.87,66.19,0.03,62.53,211.22,29.53,-0.06,223.11,2.49,0.48,6.61,1.12,11.12,12.2,57.08,1.91,13-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
13-Apr-2018 - 00:00,4.44,7.58,6.14,35.06,4.01,,35.34,67.74,0.0,66.39,247.6,29.67,-0.03,217.92,2.58,0.5,8.04,2.31,12.29,14.58,49.05,2.56,14-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
14-Apr-2018 - 00:00,3.11,6.93,5.54,35.06,3.83,999.96,33.32,64.49,0.0,62.33,239.06,31.65,-0.04,237.83,2.73,0.38,6.98,1.84,10.26,12.06,52.57,2.86,15-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
15-Apr-2018 - 00:00,4.02,7.92,6.25,36.44,4.09,,47.26,77.16,0.0,52.18,236.1,31.46,-0.03,223.99,2.51,0.38,5.69,1.37,12.75,14.07,76.69,2.47,16-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
16-Apr-2018 - 00:00,3.46,6.64,5.47,31.21,3.61,,38.21,79.9,0.0,60.98,235.82,32.91,-0.02,225.24,2.73,0.4,5.76,1.49,12.4,13.86,54.44,4.58,17-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
17-Apr-2018 - 00:00,3.14,6.6,5.33,31.61,3.52,,38.3,77.77,0.23,62.65,228.37,32.22,-0.07,212.97,2.95,0.48,4.84,1.79,11.65,13.41,43.7,3.05,18-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
18-Apr-2018 - 00:00,4.08,7.2,6.15,26.04,4.3,999.95,28.35,57.96,0.0,67.48,185.3,29.89,-0.12,185.07,3.1,0.45,4.17,1.65,11.99,13.6,31.96,2.47,19-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
19-Apr-2018 - 00:00,2.69,6.65,5.33,31.92,3.59,997.85,30.07,67.32,0.0,69.52,243.77,31.69,-0.12,216.39,2.86,0.43,6.62,2.24,10.35,12.59,24.46,2.43,20-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
20-Apr-2018 - 00:00,2.38,6.12,4.95,29.4,3.35,998.05,26.3,65.27,0.0,69.59,242.34,32.39,-0.17,204.1,3.18,0.27,5.81,1.98,10.84,12.8,21.43,2.43,21-Apr-2018 - 00:00,"Padmapukur, Howrah - WBPCB"
