from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
30-Apr-2018 - 00:00,32.84,978.18,254.42,68.56,46.33,139.75,106.64,0.84,0.2,0.36,0.14,43.12,63.02,94.18,34.78,15.21,1.13,68.13,01-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-May-2018 - 00:00,31.27,981.55,171.09,46.13,52.41,136.69,88.26,1.12,0.05,0.28,0.13,39.74,34.8,36.34,2.96,10.25,1.15,57.62,02-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-May-2018 - 00:00,29.98,983.12,180.82,48.17,55.89,136.42,114.4,1.36,0.07,0.28,0.16,33.53,37.11,42.97,5.85,12.31,0.75,46.86,03-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-May-2018 - 00:00,28.9,983.64,173.92,42.42,54.23,149.09,93.37,1.27,0.05,0.31,0.18,37.21,45.3,49.55,7.8,15.5,0.75,31.97,04-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-May-2018 - 00:00,30.19,983.87,141.42,41.0,56.65,184.92,78.31,0.93,0.08,0.38,0.21,35.98,50.22,57.4,7.02,14.62,0.9,40.89,05-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-May-2018 - 00:00,32.37,983.01,228.5,63.21,47.05,187.23,150.2,0.62,0.16,0.59,0.26,36.46,87.56,122.85,83.46,13.02,1.8,50.62,06-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-May-2018 - 00:00,31.73,983.62,329.21,81.62,42.94,170.96,224.7,1.52,0.34,0.96,0.43,33.35,87.89,101.45,126.5,14.4,2.29,43.29,07-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-May-2018 - 00:00,32.51,981.63,341.58,95.75,39.29,173.78,190.38,0.66,0.19,0.76,0.34,33.66,97.95,197.11,122.81,20.99,2.1,49.19,08-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-May-2018 - 00:00,31.47,982.42,187.97,60.03,34.82,239.11,211.29,1.06,0.17,0.23,0.14,18.96,45.91,44.1,5.98,9.91,0.58,72.53,09-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-May-2018 - 00:00,28.44,984.1,206.96,59.71,49.71,149.23,198.56,0.73,0.12,0.65,0.25,35.67,86.24,141.1,49.83,17.18,1.39,50.06,10-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-May-2018 - 00:00,31.08,984.84,250.42,79.62,47.59,194.23,199.46,0.67,0.2,0.61,0.32,37.53,106.12,160.47,82.76,13.15,1.72,58.62,11-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-May-2018 - 00:00,33.65,981.74,354.75,109.58,40.39,176.28,207.0,0.66,0.24,0.89,0.38,40.9,125.04,151.67,106.89,21.47,2.28,69.78,12-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-May-2018 - 00:00,34.32,981.05,422.75,131.04,45.81,138.07,141.63,0.77,0.25,0.92,0.39,49.2,101.73,122.08,78.93,21.31,2.43,71.04,13-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-May-2018 - 00:00,32.18,981.2,262.83,70.67,49.32,152.75,139.15,1.81,0.14,0.25,0.18,38.53,37.52,37.26,1.91,20.79,0.89,75.78,14-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-May-2018 - 00:00,29.67,982.82,150.54,44.54,49.8,172.08,102.44,0.75,0.05,0.32,0.2,33.04,56.35,57.43,6.71,21.73,0.85,48.88,15-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-May-2018 - 00:00,31.9,981.39,212.48,64.25,51.41,164.43,98.47,0.76,0.11,0.43,0.22,42.43,70.48,88.53,19.07,15.9,1.27,59.54,16-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-May-2018 - 00:00,34.18,980.12,245.32,83.5,36.3,192.12,227.74,0.98,0.19,0.56,0.21,29.79,70.47,79.2,21.11,12.42,1.0,62.13,17-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-May-2018 - 00:00,35.31,980.19,321.4,125.26,26.79,174.8,230.43,0.79,0.34,1.93,0.7,29.31,60.43,68.22,12.66,24.49,1.03,82.62,18-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-May-2018 - 00:00,33.79,980.04,291.09,120.79,34.06,151.56,185.78,0.89,2.53,6.03,3.45,38.55,87.1,127.88,60.77,23.2,1.48,54.29,19-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-May-2018 - 00:00,33.3,980.05,316.77,130.28,42.06,161.88,187.48,0.83,3.0,10.85,5.8,43.99,99.6,192.17,122.8,18.42,2.16,70.0,20-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-May-2018 - 00:00,34.26,981.22,253.23,103.4,28.99,174.43,251.41,0.9,2.29,5.86,3.81,30.83,79.55,79.97,48.35,17.75,1.2,72.22,21-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-May-2018 - 00:00,36.25,981.52,219.35,87.36,15.95,191.91,273.21,0.73,1.69,6.07,3.04,25.93,62.33,88.81,29.61,19.82,0.93,71.76,22-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-May-2018 - 00:00,34.7,975.02,278.82,98.12,20.78,177.33,208.17,0.75,6.48,7.38,4.03,23.75,94.62,67.54,51.85,19.59,1.98,25.49,23-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-May-2018 - 00:00,35.46,979.32,394.96,122.96,32.68,194.74,122.94,0.79,5.89,14.08,5.93,40.64,119.54,154.04,147.22,22.51,2.75,41.14,24-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-May-2018 - 00:00,34.43,978.58,379.25,117.25,32.25,170.07,136.38,0.76,5.0,11.85,5.65,44.06,115.47,113.24,108.99,23.18,2.23,55.28,25-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-May-2018 - 00:00,34.9,978.85,263.83,76.12,26.25,238.17,230.84,0.74,24.18,15.3,11.03,32.0,115.14,163.99,174.05,19.17,2.18,53.78,26-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-May-2018 - 00:00,35.39,977.67,300.79,113.83,25.27,230.85,205.22,0.73,,,,32.94,106.88,129.48,134.6,30.63,2.35,52.44,27-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-May-2018 - 00:00,35.97,977.03,355.57,127.75,23.69,218.49,171.84,0.92,,,,29.42,95.73,130.2,80.63,16.94,1.93,50.45,28-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-May-2018 - 00:00,35.31,976.18,351.88,126.62,30.48,249.83,109.43,0.81,3.98,6.45,2.97,36.52,93.1,119.51,70.47,27.24,1.15,64.99,29-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-May-2018 - 00:00,35.95,940.11,379.96,122.09,37.0,138.82,141.37,1.16,1.02,5.62,2.9,36.83,100.66,93.48,95.45,16.41,1.08,36.09,30-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-May-2018 - 00:00,34.28,976.61,295.58,87.46,43.99,180.92,119.47,1.44,0.78,3.32,2.35,38.61,49.46,48.36,9.39,15.63,0.93,84.34,31-May-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-May-2018 - 00:00,35.27,978.31,255.58,88.25,43.87,189.97,109.9,1.06,1.26,4.12,2.9,43.33,61.96,69.43,14.24,18.61,0.93,61.04,01-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Jun-2018 - 00:00,34.12,979.51,226.26,83.38,49.79,194.7,104.66,1.59,0.86,3.19,2.28,39.74,37.12,36.06,2.73,12.59,0.74,78.76,02-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Jun-2018 - 00:00,31.54,980.22,140.12,49.7,49.29,187.45,110.03,1.32,0.59,2.52,1.73,29.9,38.24,36.54,4.04,13.56,0.55,80.73,03-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Jun-2018 - 00:00,33.25,977.81,137.42,54.04,52.6,193.82,113.01,1.12,0.96,2.68,2.03,31.65,40.17,40.49,2.14,10.18,0.75,83.43,04-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Jun-2018 - 00:00,35.56,976.88,179.62,60.62,48.61,179.73,112.93,1.36,0.58,2.55,1.81,37.17,37.52,36.67,2.09,12.6,0.78,82.4,05-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Jun-2018 - 00:00,35.96,979.19,144.46,55.7,47.2,174.21,111.85,1.27,0.62,3.22,2.0,36.76,37.7,36.8,2.11,11.64,0.79,68.72,06-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Jun-2018 - 00:00,32.95,980.83,173.83,62.0,59.16,114.69,70.5,1.26,1.2,4.84,2.57,32.97,52.03,49.93,7.56,14.03,0.92,52.5,07-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Jun-2018 - 00:00,35.09,976.65,163.17,69.46,53.42,188.91,116.77,0.77,1.9,3.91,2.49,37.95,61.67,58.28,9.4,11.28,1.0,70.62,08-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Jun-2018 - 00:00,35.19,973.47,184.71,69.5,56.41,160.48,110.13,1.4,0.93,3.08,2.35,38.08,41.21,39.1,2.07,10.26,0.97,56.29,09-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Jun-2018 - 00:00,31.6,973.08,113.87,50.96,72.22,164.58,123.31,1.33,0.85,3.58,2.69,35.67,40.69,50.62,9.98,9.28,0.91,42.21,10-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Jun-2018 - 00:00,32.54,973.28,157.71,61.42,63.98,198.94,180.33,0.76,1.83,5.8,3.77,39.02,68.41,91.45,27.0,9.7,1.15,61.75,11-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Jun-2018 - 00:00,35.41,971.18,216.42,73.46,50.89,204.59,257.96,1.04,1.25,5.17,3.14,45.09,65.73,71.22,12.62,10.71,0.92,64.46,12-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Jun-2018 - 00:00,36.93,968.78,425.81,229.25,42.74,180.05,241.66,1.07,0.79,4.26,2.72,32.03,50.26,53.03,7.87,10.52,0.7,39.47,13-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Jun-2018 - 00:00,38.24,968.86,837.89,371.96,35.59,164.85,238.1,1.46,0.43,2.9,2.31,26.56,35.08,38.46,5.32,9.53,0.5,28.52,14-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Jun-2018 - 00:00,37.14,970.93,732.2,297.92,34.11,149.96,228.56,1.51,0.4,2.36,1.99,18.9,37.98,41.62,10.44,10.08,0.54,31.69,15-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Jun-2018 - 00:00,36.42,973.27,606.17,198.92,35.24,163.0,209.05,1.51,1.17,2.49,2.45,16.31,41.53,41.38,8.71,6.04,0.5,32.04,16-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Jun-2018 - 00:00,35.09,975.5,442.62,164.0,45.92,149.18,170.49,1.03,1.33,3.4,2.45,22.54,39.46,38.86,3.82,8.1,0.7,32.99,17-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Jun-2018 - 00:00,31.81,976.85,227.71,89.75,57.94,174.93,68.1,1.45,1.47,3.1,2.41,25.83,35.94,38.84,3.01,7.83,0.62,41.74,18-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Jun-2018 - 00:00,32.64,976.74,148.29,70.08,49.75,153.42,217.32,0.98,1.36,3.49,2.67,28.3,50.96,70.92,19.59,12.05,0.96,52.64,19-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Jun-2018 - 00:00,33.78,976.85,136.92,58.46,47.95,205.72,193.1,0.98,1.59,3.08,2.49,23.28,56.09,57.87,10.55,9.08,0.69,72.9,20-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Jun-2018 - 00:00,35.4,977.36,188.93,81.75,50.13,149.41,135.15,1.28,1.29,5.13,2.85,35.05,73.01,97.58,36.06,15.98,1.11,81.49,21-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Jun-2018 - 00:00,36.06,977.27,253.81,113.31,43.78,169.38,137.95,0.88,1.36,4.83,2.58,34.65,74.97,91.07,27.16,13.9,0.92,57.34,22-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Jun-2018 - 00:00,36.89,976.07,207.62,95.17,43.39,171.1,181.45,0.72,1.83,5.36,3.37,37.92,92.13,153.14,59.89,13.89,1.57,64.19,23-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Jun-2018 - 00:00,36.98,975.62,228.42,108.83,43.24,155.17,175.31,0.96,2.9,5.54,3.89,31.57,99.9,158.59,83.39,11.23,1.36,74.01,24-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Jun-2018 - 00:00,36.95,974.91,104.94,75.67,40.87,175.66,178.22,1.12,1.71,5.2,3.04,29.69,76.5,84.5,29.4,17.27,0.9,75.55,25-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Jun-2018 - 00:00,37.24,973.5,27.87,55.55,47.77,143.4,252.1,2.56,1.88,4.71,3.03,30.38,49.16,60.57,23.47,11.5,0.86,48.12,26-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Jun-2018 - 00:00,31.91,973.7,64.39,24.67,66.62,38.37,213.7,6.11,1.86,23.39,,31.88,50.4,36.47,11.85,16.87,0.77,27.55,27-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Jun-2018 - 00:00,30.95,975.78,111.08,49.73,73.53,139.29,126.95,1.07,1.4,13.96,,44.55,34.94,24.75,7.65,12.6,0.82,45.63,28-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Jun-2018 - 00:00,29.82,977.25,49.72,19.51,82.29,140.08,103.42,1.33,0.84,10.84,,41.17,30.3,19.91,4.67,11.17,0.67,29.98,29-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Jun-2018 - 00:00,30.39,977.11,71.86,34.22,79.61,119.35,135.6,1.33,1.0,12.34,,33.58,34.18,25.05,8.42,10.96,0.82,30.75,30-Jun-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Jun-2018 - 00:00,31.63,977.42,72.68,37.52,74.68,161.01,165.5,0.97,1.3,15.59,,35.16,42.01,32.34,12.27,13.09,0.89,29.46,01-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Jul-2018 - 00:00,32.72,976.05,66.64,29.53,71.39,145.4,233.71,1.19,1.09,13.56,,33.26,30.44,25.95,11.99,10.37,0.83,31.51,02-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Jul-2018 - 00:00,32.45,973.72,87.4,34.27,66.98,161.68,213.95,1.5,0.53,8.56,,26.76,24.67,14.81,2.06,9.95,0.52,39.45,03-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Jul-2018 - 00:00,31.33,974.21,115.36,47.91,74.32,158.3,95.26,0.96,1.24,18.6,,31.36,46.63,32.48,9.34,11.01,1.14,41.64,04-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Jul-2018 - 00:00,31.73,974.51,106.64,43.4,70.37,171.09,99.51,1.0,1.3,12.53,,40.12,38.41,23.35,3.59,13.15,1.27,49.55,05-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Jul-2018 - 00:00,31.55,975.86,150.01,58.04,75.75,156.02,161.72,0.78,2.3,24.94,,32.15,54.13,66.34,46.0,13.14,0.68,52.61,06-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Jul-2018 - 00:00,33.09,975.97,160.46,64.11,64.78,194.67,210.9,0.72,2.2,25.84,,43.81,52.66,56.07,34.41,10.0,0.0,33.04,07-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Jul-2018 - 00:00,34.0,975.23,150.29,59.84,59.14,189.33,,,1.49,17.0,,48.0,42.92,30.95,9.92,11.17,,60.01,08-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Jul-2018 - 00:00,35.13,974.22,210.1,73.67,56.27,197.61,,,1.97,19.91,,55.13,57.98,76.88,56.52,12.62,,82.22,09-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Jul-2018 - 00:00,34.66,974.24,159.77,63.24,65.61,185.52,,,1.1,11.47,,47.92,37.36,22.25,2.91,11.3,,44.76,10-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Jul-2018 - 00:00,34.05,974.83,94.38,41.5,70.49,184.85,121.17,1.2,0.8,10.28,,35.16,25.85,15.61,2.29,10.36,,33.29,11-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Jul-2018 - 00:00,32.18,974.32,88.5,44.27,74.82,104.94,,,1.01,15.22,,38.67,38.95,22.9,2.67,11.09,,29.07,12-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Jul-2018 - 00:00,32.54,973.74,110.38,50.79,71.48,141.89,,,0.95,13.6,,33.06,36.0,26.24,8.7,10.06,,47.18,13-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Jul-2018 - 00:00,29.46,975.07,51.5,27.71,86.47,117.85,117.28,0.5,1.46,18.51,,33.04,35.7,31.37,15.19,10.57,2.69,20.76,14-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Jul-2018 - 00:00,29.81,974.69,75.21,31.21,86.07,163.4,103.67,0.86,0.99,18.29,,21.48,31.04,29.47,15.91,9.98,0.93,31.58,15-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Jul-2018 - 00:00,31.13,974.29,68.23,29.45,81.44,169.6,116.61,0.91,0.6,10.03,,26.27,30.57,22.24,7.33,10.03,,13.56,16-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Jul-2018 - 00:00,30.64,974.79,80.92,32.71,89.07,81.15,127.89,0.91,0.82,18.87,,25.52,36.72,30.08,12.88,9.92,1.33,9.08,17-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Jul-2018 - 00:00,32.95,975.09,77.45,29.79,74.74,159.45,104.92,0.83,0.49,11.39,,46.34,36.03,27.1,9.74,9.23,0.63,28.89,18-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Jul-2018 - 00:00,32.95,975.72,104.8,35.44,73.72,180.92,82.16,1.14,0.64,13.99,,45.85,31.32,29.64,15.94,9.49,0.68,28.85,19-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Jul-2018 - 00:00,32.98,975.43,85.23,33.29,73.38,190.94,129.1,1.0,0.64,11.78,,39.26,29.89,24.36,10.14,8.84,0.61,42.42,20-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Jul-2018 - 00:00,29.97,974.98,67.95,34.91,86.95,67.87,149.88,0.84,1.94,21.64,,31.62,47.11,33.71,10.61,8.55,0.92,23.34,21-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Jul-2018 - 00:00,29.63,975.26,76.96,38.61,88.23,83.89,129.91,0.67,1.9,24.41,,37.88,46.36,40.52,19.45,8.7,0.96,30.29,22-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Jul-2018 - 00:00,28.64,975.87,33.05,21.76,94.03,126.11,122.87,0.72,0.87,15.63,,29.93,36.92,28.01,10.28,8.73,0.74,13.71,23-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Jul-2018 - 00:00,30.99,975.6,41.82,26.49,80.08,158.48,104.21,0.9,1.03,14.08,,31.2,33.0,24.97,9.12,8.84,0.72,21.16,24-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Jul-2018 - 00:00,32.54,976.04,71.34,34.99,73.14,158.09,112.75,0.85,1.25,14.51,,30.98,39.86,30.1,10.9,9.71,0.78,46.63,25-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Jul-2018 - 00:00,29.47,975.49,47.6,26.33,89.97,50.49,207.36,0.95,0.77,12.38,,24.23,37.3,31.04,13.69,9.03,0.75,13.45,26-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Jul-2018 - 00:00,27.23,975.53,35.1,23.55,98.36,35.0,205.98,0.71,1.34,17.45,,27.49,32.6,28.83,14.09,9.21,0.72,7.5,27-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Jul-2018 - 00:00,27.17,974.63,27.95,19.15,97.0,47.45,219.5,0.71,1.52,19.61,,20.57,29.76,20.97,6.23,9.44,0.69,10.56,28-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Jul-2018 - 00:00,27.82,975.17,54.49,29.17,92.99,74.64,252.05,0.9,1.38,16.41,,20.46,32.99,26.69,11.22,9.4,0.72,16.41,29-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Jul-2018 - 00:00,30.66,975.79,118.45,40.99,81.45,187.48,237.57,0.81,0.97,13.17,,28.48,33.9,35.12,20.94,8.61,0.83,20.06,30-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Jul-2018 - 00:00,30.18,975.36,112.21,36.56,81.89,164.02,237.38,0.86,0.83,12.62,,28.56,33.06,33.95,20.11,9.53,0.71,23.09,31-Jul-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Jul-2018 - 00:00,30.57,974.57,164.76,63.03,76.84,73.51,214.77,0.87,1.07,16.56,,27.9,41.53,29.66,9.27,8.6,0.76,19.48,01-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Aug-2018 - 00:00,31.26,975.07,204.22,66.5,72.17,185.98,233.63,0.88,0.96,13.81,,28.2,38.62,47.09,32.6,9.12,0.82,21.07,02-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Aug-2018 - 00:00,32.03,976.35,268.95,79.39,67.47,172.5,234.89,1.03,0.93,12.63,,25.56,35.2,37.04,22.48,8.79,0.66,16.96,03-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Aug-2018 - 00:00,31.61,976.86,244.86,78.31,64.8,129.43,235.46,1.08,0.63,9.75,,22.16,36.39,32.56,16.2,8.99,0.59,12.49,04-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Aug-2018 - 00:00,31.7,976.51,258.28,78.2,63.82,134.84,225.91,1.06,0.66,11.07,,21.71,37.67,33.84,16.93,9.11,0.57,16.92,05-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Aug-2018 - 00:00,29.72,976.77,225.9,75.68,76.98,61.88,191.14,1.23,0.65,9.35,,22.22,28.81,21.83,7.97,9.28,0.52,9.33,06-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Aug-2018 - 00:00,27.92,977.2,126.1,53.39,88.94,50.85,90.75,0.92,1.31,15.17,,44.85,39.53,32.71,14.33,9.51,0.72,26.8,07-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Aug-2018 - 00:00,29.05,977.07,105.24,42.84,85.2,115.68,202.0,0.89,1.27,16.91,,31.96,36.6,36.59,21.01,12.12,1.09,28.12,08-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Aug-2018 - 00:00,30.48,977.56,66.43,30.23,81.42,137.12,107.59,0.82,1.43,16.32,,30.32,33.04,31.6,17.24,9.67,0.82,25.25,09-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Aug-2018 - 00:00,32.08,979.93,97.67,35.9,73.57,184.42,109.45,0.94,0.92,14.72,,33.34,32.9,30.38,15.79,9.66,0.71,28.67,10-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Aug-2018 - 00:00,30.45,978.73,116.85,48.97,85.51,97.03,176.17,0.7,1.58,22.44,,37.84,53.84,74.61,56.37,9.91,1.38,23.84,11-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Aug-2018 - 00:00,31.73,975.03,79.18,38.3,78.27,161.59,233.38,0.93,0.75,10.91,,35.45,36.31,35.7,20.11,8.0,0.63,20.18,12-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Aug-2018 - 00:00,30.33,973.47,75.74,25.89,78.46,74.69,203.01,0.94,0.51,7.5,,23.96,31.66,22.85,7.37,9.55,0.55,15.55,13-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Aug-2018 - 00:00,30.11,974.86,84.44,35.76,81.46,104.28,158.84,0.71,0.82,11.49,,27.71,35.16,33.67,18.35,8.76,0.7,22.6,14-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Aug-2018 - 00:00,31.01,975.87,126.3,46.14,80.65,123.33,122.29,0.67,1.04,13.18,,32.61,44.1,46.54,28.34,8.91,0.92,27.07,15-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Aug-2018 - 00:00,31.2,977.49,105.02,35.71,76.85,160.85,159.9,0.93,0.67,9.19,,30.38,27.63,18.16,4.26,9.01,0.52,34.77,16-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Aug-2018 - 00:00,30.13,979.1,77.93,37.71,86.17,134.48,148.15,0.61,1.5,19.3,,30.95,48.13,60.81,43.14,10.09,1.29,26.23,17-Aug-2018 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
