from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
06-May-2018 - 00:00,31.69,983.26,317.0,120.46,36.91,213.23,103.31,2.55,0.0,0.5,1.07,0.16,39.45,39.41,11.19,47.68,2.1,71.0,6.86,07-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
07-May-2018 - 00:00,32.24,981.31,316.74,97.79,33.58,207.48,228.95,1.79,0.0,0.38,0.67,0.02,28.49,20.65,3.83,26.81,1.27,64.42,5.38,08-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
08-May-2018 - 00:00,30.1,982.01,103.33,36.07,38.82,222.98,234.38,2.74,0.0,0.76,0.02,0.0,4.32,22.37,1.35,28.8,0.74,103.79,0.73,09-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
09-May-2018 - 00:00,28.17,983.7,177.34,52.98,46.25,167.29,170.9,1.37,0.0,0.5,0.87,0.03,23.57,19.59,2.12,26.98,1.14,69.62,2.56,10-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
10-May-2018 - 00:00,31.18,984.44,200.19,95.69,41.19,221.11,222.87,1.74,0.0,0.47,1.07,0.09,37.43,29.29,2.28,34.02,1.28,56.34,5.41,11-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
11-May-2018 - 00:00,33.96,981.33,304.96,120.62,32.45,208.27,216.34,1.87,0.0,0.45,1.22,0.15,36.82,39.99,2.65,41.59,1.54,42.79,7.37,12-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
12-May-2018 - 00:00,35.51,980.38,362.73,129.34,34.86,201.14,164.24,1.49,0.0,0.42,1.37,0.13,56.15,34.53,6.29,35.3,1.5,84.91,9.24,13-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
13-May-2018 - 00:00,33.31,980.04,262.04,60.44,39.08,208.05,104.47,3.69,0.0,0.25,0.49,0.0,42.36,14.06,1.59,28.63,0.99,141.37,6.33,14-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
14-May-2018 - 00:00,30.05,982.08,131.79,38.46,47.11,198.82,134.24,1.76,0.0,0.11,0.96,0.02,51.12,21.35,2.29,23.24,0.97,83.48,4.8,15-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
15-May-2018 - 00:00,32.43,980.69,185.21,63.0,46.92,195.24,110.86,1.94,0.0,0.15,1.14,0.05,62.58,26.46,1.95,27.92,1.26,85.38,8.01,16-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
16-May-2018 - 00:00,34.46,979.78,231.73,63.69,32.58,225.3,243.09,2.82,0.0,15.21,2.17,0.06,26.85,20.47,4.49,29.35,0.95,110.43,6.71,17-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
17-May-2018 - 00:00,34.26,979.97,305.71,87.41,30.06,209.25,187.61,1.7,0.0,0.4,0.62,0.01,23.89,18.04,1.69,20.23,0.96,113.92,6.92,18-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
18-May-2018 - 00:00,33.31,979.8,247.97,92.94,33.55,183.89,152.84,1.66,0.0,0.35,0.95,0.03,32.58,22.78,2.34,25.82,1.04,88.37,8.22,19-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
19-May-2018 - 00:00,33.08,979.67,287.78,100.06,36.79,185.25,227.73,1.93,0.0,0.29,1.29,0.1,46.65,28.6,5.43,35.57,1.18,73.52,7.63,20-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
20-May-2018 - 00:00,34.09,981.05,200.85,68.27,25.98,196.01,170.19,1.92,0.0,0.33,0.64,0.02,24.95,15.74,1.67,18.42,0.98,116.3,7.61,21-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
21-May-2018 - 00:00,34.84,981.32,221.64,68.52,17.97,221.46,135.97,1.93,0.0,0.32,0.72,0.01,18.6,15.71,1.9,18.01,0.95,119.66,9.28,22-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
22-May-2018 - 00:00,35.77,980.05,272.0,101.04,18.67,217.25,155.75,1.72,0.0,0.32,0.9,0.05,24.67,25.56,2.89,26.43,1.16,74.44,10.28,23-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
23-May-2018 - 00:00,36.14,979.01,329.45,122.99,22.51,201.25,160.51,1.7,0.0,0.39,1.46,0.31,39.01,28.9,7.11,32.21,1.31,46.77,9.43,24-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
24-May-2018 - 00:00,35.1,978.37,289.0,154.21,19.0,181.6,219.37,1.99,0.0,0.28,0.9,0.05,30.84,21.33,2.1,23.1,1.09,80.44,13.93,25-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
25-May-2018 - 00:00,34.87,978.65,225.79,104.25,17.48,232.22,257.31,1.87,0.0,0.36,0.61,0.04,24.26,26.43,3.78,26.25,1.2,69.54,7.29,26-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
26-May-2018 - 00:00,35.6,977.38,240.19,97.22,17.62,230.46,242.38,1.66,0.0,0.31,0.65,0.02,27.19,34.34,6.38,32.65,1.15,71.38,9.79,27-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
27-May-2018 - 00:00,36.79,976.8,332.44,107.84,16.15,229.38,252.28,2.55,0.0,0.48,0.63,0.11,21.16,30.97,5.86,31.64,1.07,98.5,7.07,28-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
28-May-2018 - 00:00,35.15,975.48,332.9,259.62,28.29,178.11,131.23,1.3,0.0,0.1,1.29,0.11,3.12,37.61,30.66,32.62,1.02,5.8,2.11,29-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
29-May-2018 - 00:00,36.23,972.15,359.31,69.8,27.84,184.16,196.18,2.03,0.0,0.27,0.4,0.04,28.3,34.98,21.0,38.15,0.57,61.38,3.12,30-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
30-May-2018 - 00:00,35.33,976.06,400.92,75.12,37.52,190.09,159.18,3.99,0.0,0.27,0.59,0.0,53.6,12.28,1.6,29.86,0.98,93.39,4.36,31-May-2018 - 00:00,"Najafgarh, Delhi - DPCC"
31-May-2018 - 00:00,35.81,977.72,280.92,49.58,35.22,201.8,141.88,1.97,0.0,0.19,0.76,0.04,42.27,22.48,1.94,27.32,1.14,75.81,4.18,01-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
01-Jun-2018 - 00:00,36.21,978.65,287.83,70.79,40.31,196.9,127.59,3.63,0.0,0.09,0.72,0.01,59.27,19.36,0.94,19.96,1.03,102.02,4.71,02-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jun-2018 - 00:00,33.24,979.57,192.04,45.58,41.15,197.27,131.81,3.5,0.0,0.07,0.76,0.0,40.5,17.35,0.81,17.81,0.9,113.38,3.96,03-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jun-2018 - 00:00,34.6,977.23,149.64,47.3,45.48,199.84,114.66,2.7,0.0,0.07,0.72,0.01,51.78,20.09,1.1,20.79,1.05,101.65,5.22,04-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jun-2018 - 00:00,36.87,976.22,214.47,62.09,41.84,187.95,136.04,4.12,0.0,0.07,0.71,0.0,49.89,16.61,1.01,17.2,1.03,100.17,3.9,05-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jun-2018 - 00:00,37.26,978.62,171.13,45.89,40.91,187.16,130.72,3.76,0.0,0.06,0.61,0.01,48.38,17.65,0.74,18.13,1.08,91.74,3.46,06-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jun-2018 - 00:00,33.93,980.48,221.72,61.26,52.59,136.9,79.94,2.53,0.0,0.11,0.77,0.05,47.71,25.35,1.18,25.82,1.31,80.57,6.41,07-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jun-2018 - 00:00,35.99,976.27,199.51,57.2,47.94,188.62,117.93,1.84,0.0,0.14,0.89,0.05,58.22,27.26,1.24,27.28,1.26,88.83,5.19,08-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jun-2018 - 00:00,36.78,972.73,252.53,55.33,45.72,172.45,144.68,4.07,0.0,0.1,0.74,0.01,51.87,17.44,0.75,17.78,1.11,84.67,3.83,09-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jun-2018 - 00:00,32.46,972.64,130.92,42.0,64.29,155.34,151.74,3.46,0.13,0.08,0.7,0.02,53.06,18.41,0.89,19.18,1.06,64.72,3.32,10-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jun-2018 - 00:00,31.64,973.26,140.65,58.04,69.78,211.93,231.89,1.48,0.0,0.12,0.77,0.02,64.75,24.58,2.24,26.47,1.08,49.7,4.04,11-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
11-Jun-2018 - 00:00,34.38,971.31,229.94,57.64,56.74,232.71,294.01,2.51,0.0,0.07,0.61,0.0,78.57,29.37,2.32,31.93,1.1,53.27,5.11,12-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
12-Jun-2018 - 00:00,36.08,968.83,475.46,95.81,48.7,202.06,276.97,2.54,0.0,0.08,0.61,0.0,57.17,25.9,3.09,28.45,0.92,33.27,6.95,13-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
13-Jun-2018 - 00:00,37.91,968.91,906.8,165.51,36.98,189.13,277.92,3.82,0.0,0.04,0.5,0.0,39.11,17.72,1.74,19.6,0.79,31.62,4.74,14-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
14-Jun-2018 - 00:00,37.36,970.98,850.31,129.05,33.28,189.37,271.58,3.61,0.0,0.05,0.54,0.0,23.91,13.92,1.03,14.88,0.8,41.55,3.96,15-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
15-Jun-2018 - 00:00,36.78,973.11,493.82,77.49,33.25,209.89,262.8,3.16,0.0,0.08,0.55,0.0,20.41,12.68,0.98,13.92,0.76,43.17,3.1,16-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
16-Jun-2018 - 00:00,36.33,975.22,432.04,54.43,38.7,198.35,231.96,2.59,0.0,0.15,0.49,0.0,20.67,16.39,0.97,19.28,0.82,36.51,5.35,17-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
17-Jun-2018 - 00:00,32.24,976.67,323.26,57.49,53.77,209.22,93.59,2.49,0.0,0.07,0.52,0.0,35.05,16.63,0.92,18.18,0.95,50.9,3.29,18-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
18-Jun-2018 - 00:00,31.47,976.85,134.28,33.94,53.04,186.64,274.92,2.28,0.0,0.07,0.54,0.0,35.57,17.17,1.05,19.66,0.93,57.04,3.57,19-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
19-Jun-2018 - 00:00,33.27,976.77,153.31,36.35,48.28,238.83,226.49,1.85,0.0,0.13,0.52,0.0,30.41,14.98,0.81,16.02,0.86,70.48,4.54,20-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
20-Jun-2018 - 00:00,35.95,977.22,188.31,36.02,41.5,215.53,200.86,2.19,0.0,0.1,0.54,0.0,31.04,17.83,1.0,17.15,0.9,70.31,5.18,21-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
21-Jun-2018 - 00:00,36.33,977.19,371.2,52.66,39.98,195.55,198.67,1.72,0.0,0.1,0.57,0.01,34.91,16.51,0.71,17.39,0.88,90.57,7.89,22-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
22-Jun-2018 - 00:00,36.93,976.0,210.83,50.62,39.26,226.9,189.39,1.52,0.0,0.11,0.73,0.07,41.95,21.04,1.14,22.59,1.03,81.97,4.82,23-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
23-Jun-2018 - 00:00,37.33,975.5,259.0,56.97,38.17,182.91,194.55,1.86,0.0,0.4,2.08,0.22,38.47,27.61,1.56,27.72,1.07,82.36,10.55,24-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
24-Jun-2018 - 00:00,37.65,974.92,114.55,25.15,37.25,145.76,249.49,3.02,0.0,0.75,0.94,0.2,19.98,14.91,1.56,19.63,0.97,101.01,8.83,25-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
25-Jun-2018 - 00:00,,,4.28,0.27,38.11,39.33,,5.35,,,,,26.33,13.92,1.89,8.94,1.1,73.3,12.5,26-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
26-Jun-2018 - 00:00,31.04,973.85,35.15,7.86,40.99,38.64,218.44,6.47,,1.1,6.15,,28.7,15.05,1.77,9.46,1.1,64.33,10.42,27-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
27-Jun-2018 - 00:00,30.04,975.71,80.55,31.03,73.66,159.98,154.84,2.44,,1.06,7.18,,45.89,25.05,2.12,15.05,1.19,67.83,6.95,28-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jun-2018 - 00:00,29.8,977.06,28.02,13.22,77.52,178.02,110.31,2.51,,0.56,6.18,,38.89,24.34,2.14,14.68,1.21,50.16,3.0,29-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jun-2018 - 00:00,29.99,976.93,48.31,26.0,77.52,178.02,131.36,3.4,,0.76,8.07,,31.62,22.82,2.36,14.05,1.1,45.83,4.72,30-Jun-2018 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jun-2018 - 00:00,31.3,977.41,46.97,27.06,75.79,184.8,176.64,1.77,,0.64,5.68,,29.88,20.21,2.08,12.46,1.2,36.79,3.25,01-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
01-Jul-2018 - 00:00,32.1,976.2,44.79,24.06,73.98,180.83,264.66,2.27,,0.57,3.78,,27.43,14.92,1.92,9.48,1.1,31.07,4.04,02-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
02-Jul-2018 - 00:00,32.47,973.73,73.32,18.11,67.4,215.19,239.48,2.98,,0.23,1.93,,37.91,13.88,1.99,9.02,1.01,55.44,6.56,03-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
03-Jul-2018 - 00:00,31.75,973.97,94.36,30.16,70.52,210.71,131.01,1.57,,1.34,16.86,,28.32,31.96,2.47,19.02,2.7,66.5,5.48,04-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
04-Jul-2018 - 00:00,32.16,974.44,111.38,35.24,65.96,206.1,138.0,1.57,,0.91,10.55,,31.26,22.36,2.09,13.6,2.01,63.07,5.94,05-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
05-Jul-2018 - 00:00,31.85,975.93,110.77,37.52,69.64,213.1,201.01,1.41,,1.1,11.1,,31.11,25.35,2.38,15.43,3.96,59.55,6.38,06-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
06-Jul-2018 - 00:00,32.56,976.09,142.57,47.47,64.85,236.98,280.23,1.72,,0.87,6.97,,36.22,19.35,2.03,11.92,4.35,58.72,6.46,07-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
07-Jul-2018 - 00:00,33.39,975.32,151.08,52.67,61.06,232.0,261.41,1.47,,1.02,8.69,,50.28,23.78,2.11,14.38,3.84,77.36,5.43,08-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
08-Jul-2018 - 00:00,34.87,974.22,166.58,48.64,55.18,245.9,212.58,1.32,,1.13,12.18,,60.51,32.43,2.88,19.61,2.26,84.58,9.49,09-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
09-Jul-2018 - 00:00,35.18,973.99,213.91,65.41,59.19,212.34,125.92,2.19,,1.12,10.41,,50.95,31.23,2.2,18.43,4.52,75.39,5.2,10-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
10-Jul-2018 - 00:00,34.93,974.51,143.54,42.25,62.42,209.75,128.27,2.34,,0.64,5.72,,40.32,22.2,2.01,13.45,2.54,60.66,3.63,11-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
11-Jul-2018 - 00:00,33.27,974.12,113.75,31.25,65.23,165.27,179.94,2.24,,0.64,8.39,,32.18,21.12,2.04,12.87,3.49,43.44,6.15,12-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
12-Jul-2018 - 00:00,32.82,973.64,93.42,22.54,64.77,208.45,205.61,1.8,,0.31,4.83,,32.87,17.18,2.11,10.86,2.22,46.31,6.91,13-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
13-Jul-2018 - 00:00,29.15,975.04,44.71,20.92,82.18,103.2,152.94,1.78,,0.75,11.32,,27.91,26.47,2.92,16.46,2.71,32.63,4.35,14-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
14-Jul-2018 - 00:00,29.38,974.62,67.54,31.46,83.18,117.39,148.81,1.61,,1.61,29.32,,31.66,38.42,9.39,28.08,3.1,26.7,4.62,15-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
15-Jul-2018 - 00:00,31.84,974.18,57.64,21.43,72.51,201.48,127.42,2.23,,0.55,7.22,,29.7,25.49,2.54,15.64,2.62,30.78,3.36,16-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
16-Jul-2018 - 00:00,30.55,974.84,62.38,26.38,78.32,81.12,120.79,2.13,,0.67,16.18,,28.82,22.89,2.22,14.0,2.08,23.61,2.89,17-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
17-Jul-2018 - 00:00,32.56,975.07,80.07,28.84,71.3,140.69,155.86,2.01,,0.82,22.68,,31.01,25.54,2.29,15.46,3.58,31.71,3.7,18-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
18-Jul-2018 - 00:00,32.62,975.72,90.3,31.9,71.92,175.34,93.88,2.29,,0.9,18.91,,34.03,28.52,4.12,18.53,2.59,31.96,3.81,19-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
19-Jul-2018 - 00:00,32.37,975.51,69.07,32.8,72.81,222.03,184.85,1.67,,0.66,10.75,,36.26,24.59,2.86,15.45,3.25,30.94,5.21,20-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
20-Jul-2018 - 00:00,30.32,975.12,43.01,22.3,79.69,112.33,219.61,1.39,,0.67,10.66,,29.73,19.22,2.2,12.01,1.69,28.77,4.74,21-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
21-Jul-2018 - 00:00,29.27,975.34,70.95,41.55,84.36,96.95,188.49,1.25,,1.71,23.01,,28.27,36.01,4.58,22.86,1.64,24.03,4.03,22-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
22-Jul-2018 - 00:00,28.34,975.91,28.8,13.95,87.65,124.31,160.41,1.49,,0.46,6.66,,25.33,19.6,2.29,12.29,1.35,19.57,4.52,23-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
23-Jul-2018 - 00:00,29.99,975.68,56.29,33.25,83.09,165.95,196.6,1.54,,0.86,14.24,,30.83,21.5,2.72,13.65,0.99,20.48,4.81,24-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
24-Jul-2018 - 00:00,31.54,976.17,78.61,35.39,76.83,150.68,181.39,1.23,,1.0,14.49,,62.54,26.13,3.15,16.47,1.48,27.05,4.2,25-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
25-Jul-2018 - 00:00,28.81,975.66,25.62,12.89,87.37,87.05,226.96,2.03,,0.54,1.77,,95.66,9.76,1.93,6.76,1.05,11.11,4.0,26-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
26-Jul-2018 - 00:00,27.04,975.85,38.43,19.03,93.13,48.49,217.66,1.65,,0.42,11.81,,50.16,12.28,1.89,8.08,0.86,7.36,4.21,27-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
27-Jul-2018 - 00:00,26.59,974.84,12.65,8.61,91.88,31.81,136.59,1.77,,0.5,10.25,,39.48,14.37,2.23,9.47,0.94,23.28,4.21,28-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
28-Jul-2018 - 00:00,28.14,975.5,37.14,16.23,86.05,135.41,249.45,2.3,,0.38,4.21,,24.94,10.76,1.82,7.21,1.37,37.48,4.62,29-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
29-Jul-2018 - 00:00,30.65,975.99,86.51,23.83,77.25,207.78,269.9,1.69,,0.27,1.55,,25.97,10.35,1.82,7.0,2.1,39.59,4.65,30-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
30-Jul-2018 - 00:00,30.49,975.59,92.69,22.03,75.02,147.84,271.97,1.81,,0.25,1.79,,26.13,11.88,1.92,7.89,1.75,36.13,4.71,31-Jul-2018 - 00:00,"Najafgarh, Delhi - DPCC"
31-Jul-2018 - 00:00,30.8,974.76,135.34,28.11,71.53,132.93,255.19,1.8,,0.36,3.87,,29.29,13.97,2.09,9.14,0.89,39.38,4.83,01-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
01-Aug-2018 - 00:00,31.14,975.3,193.15,32.1,71.68,220.08,255.58,1.98,,0.28,2.54,,29.61,14.34,2.24,9.45,1.4,40.62,5.31,02-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
02-Aug-2018 - 00:00,31.31,976.58,250.81,41.65,68.02,185.64,274.17,2.33,,0.41,3.3,,29.05,12.74,2.05,8.45,1.85,41.31,4.57,03-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
03-Aug-2018 - 00:00,30.92,977.1,222.15,34.24,66.52,175.03,270.72,2.46,,0.22,1.39,,26.41,12.38,2.1,8.3,1.09,44.68,3.84,04-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
04-Aug-2018 - 00:00,31.21,976.72,265.33,40.32,65.56,174.16,257.9,1.96,,0.34,3.9,,23.19,18.0,2.79,11.87,1.58,41.03,7.19,05-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
05-Aug-2018 - 00:00,29.61,976.84,232.27,34.86,72.84,106.74,217.04,2.45,,0.37,4.12,,23.58,15.74,2.42,10.35,1.51,39.48,6.83,06-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
06-Aug-2018 - 00:00,27.84,977.23,139.86,38.68,84.56,53.21,107.89,1.25,,1.52,25.43,,37.22,40.45,5.49,25.98,1.55,46.21,5.24,07-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
07-Aug-2018 - 00:00,28.33,977.23,91.45,38.58,83.52,122.95,109.86,1.42,,1.1,21.19,,31.24,29.03,7.39,21.44,1.55,68.49,6.61,08-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
08-Aug-2018 - 00:00,29.61,977.63,43.2,21.39,82.18,148.17,169.16,1.57,,0.66,9.02,,26.52,20.52,3.5,13.92,1.13,42.65,4.82,09-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
09-Aug-2018 - 00:00,31.55,979.93,78.6,30.91,71.72,211.34,119.4,2.1,,1.06,16.32,,31.17,28.17,4.29,18.48,1.33,56.46,3.43,10-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
10-Aug-2018 - 00:00,31.43,978.77,80.0,33.65,74.1,189.52,227.82,1.3,,0.71,12.12,,29.59,26.93,4.59,18.08,0.91,46.22,3.93,11-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
11-Aug-2018 - 00:00,32.03,975.23,57.17,15.71,71.4,202.3,261.81,2.62,,0.24,2.12,,25.95,12.37,2.17,8.36,0.83,43.42,5.26,12-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
12-Aug-2018 - 00:00,31.06,973.49,56.19,12.44,69.63,130.53,237.13,1.92,,0.34,4.51,,24.67,14.62,2.5,9.81,1.04,37.68,6.12,13-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
13-Aug-2018 - 00:00,30.53,974.95,70.32,19.64,71.4,145.26,182.19,1.55,,1.61,37.63,,27.9,23.28,2.49,14.42,1.3,23.67,4.24,14-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
14-Aug-2018 - 00:00,31.99,975.86,91.66,30.85,69.13,194.6,210.56,1.41,,6.67,186.86,,31.65,28.72,3.7,18.29,1.96,20.93,5.42,15-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
15-Aug-2018 - 00:00,30.92,977.57,92.72,28.04,73.03,190.71,203.06,2.04,,10.69,229.49,,34.21,22.45,2.47,14.01,1.06,25.65,4.26,16-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
16-Aug-2018 - 00:00,30.06,979.19,56.9,25.85,80.18,149.29,131.89,1.2,,13.96,275.78,,34.36,33.09,6.2,22.66,1.2,24.92,4.01,17-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
17-Aug-2018 - 00:00,31.9,976.84,73.17,28.69,74.46,202.87,92.46,2.34,,17.74,323.5,,35.78,34.95,14.26,30.24,1.1,25.53,3.84,18-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
18-Aug-2018 - 00:00,31.18,976.39,69.27,26.91,77.92,197.6,128.13,1.81,,12.74,216.0,,32.35,32.79,3.85,20.83,1.15,17.57,4.4,19-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
19-Aug-2018 - 00:00,28.99,976.4,73.09,41.33,86.71,83.22,172.72,1.07,,1.8,23.31,,32.95,36.01,7.6,25.35,1.3,26.44,5.83,20-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
20-Aug-2018 - 00:00,30.88,977.81,97.28,53.75,80.27,138.14,162.88,1.1,,1.81,19.34,,33.19,31.53,6.68,22.25,1.47,39.99,3.54,21-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
21-Aug-2018 - 00:00,31.42,977.65,53.58,25.18,76.22,204.86,154.06,1.36,,0.98,9.07,,29.98,24.72,2.94,15.55,1.23,31.04,4.18,22-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
22-Aug-2018 - 00:00,30.03,977.19,42.45,21.57,82.8,146.79,176.26,1.48,,1.31,14.22,,29.74,23.8,2.83,14.97,1.25,24.66,5.31,23-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
23-Aug-2018 - 00:00,28.81,977.94,29.08,12.88,87.63,100.87,256.24,1.9,,1.65,5.71,,23.57,14.71,2.1,9.54,1.3,15.1,3.9,24-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
24-Aug-2018 - 00:00,30.32,977.18,34.4,7.73,78.64,137.72,273.0,1.88,,1.25,3.34,,19.99,14.38,1.89,9.19,1.38,15.36,3.62,25-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
25-Aug-2018 - 00:00,29.79,976.64,33.73,6.91,76.73,122.08,264.78,2.11,,1.59,1.85,,20.93,11.61,1.87,7.7,0.45,17.01,2.65,26-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
26-Aug-2018 - 00:00,30.4,976.25,58.1,13.12,74.18,209.15,270.46,1.89,,1.3,4.74,,19.76,15.36,1.94,9.75,0.8,19.75,2.57,27-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
27-Aug-2018 - 00:00,29.59,977.9,49.86,23.43,82.72,111.91,177.78,1.18,,1.4,15.41,,26.13,25.22,2.27,15.27,1.05,26.09,3.92,28-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
28-Aug-2018 - 00:00,27.59,979.09,27.94,16.52,90.62,88.22,139.7,1.6,,1.22,17.05,,19.46,24.44,3.14,15.57,1.28,18.13,3.13,29-Aug-2018 - 00:00,"Najafgarh, Delhi - DPCC"
